id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
394,,GCF_002005445,GCF_002005445.1,1,GCA_002005445,GCA_002005445.1,435,Acetobacter aceti,representative genome,PRJNA224116,SAMN04396917,,,latest,Complete Genome,Major,2017-02-22,ASM200544v1,Technische Universitaet Muenchen,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/445/GCF_002005445.1_ASM200544v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,,{},{},4396917,2018-03-28T14:09:25.282Z,2021-03-04T04:42:37.091Z,
397,,GCF_001766235,GCF_001766235.1,1,GCA_001766235,GCA_001766235.1,481146,Acetobacter pasteurianus subsp. ascendens,representative genome,PRJNA224116,SAMN04605654,,,latest,Complete Genome,Major,2016-10-14,ASM176623v1,Chung-Ang University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/235/GCF_001766235.1_ASM176623v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,subsp. ascendens,{},{},4605654,2018-03-28T14:09:25.282Z,2021-03-04T04:42:41.114Z,
2285,,GCF_000963945,GCF_000963945.1,1,GCA_000963945,GCA_000963945.1,1231340,Acetobacter indonesiensis 5H-1,representative genome,PRJNA224116,SAMD00036632,BAMW00000000.1,,latest,Scaffold,Major,2015-03-21,ASM96394v1,Kinki University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/945/GCF_000963945.1_ASM96394v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter indonesiensis,5H-1,{},{},4112693,2018-03-28T14:09:26.617Z,2021-03-04T05:38:34.953Z,
2494,,GCF_000963965,GCF_000963965.1,1,GCA_000963965,GCA_000963965.1,1231341,Acetobacter orientalis 21F-2,representative genome,PRJNA224116,SAMD00036633,BAMX00000000.1,,latest,Scaffold,Major,2015-03-21,ASM96396v1,Kinki University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/965/GCF_000963965.1_ASM96396v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter orientalis,21F-2,{},{},4091609,2018-03-28T14:09:26.728Z,2021-03-04T05:44:37.032Z,
2495,,GCF_000963925,GCF_000963925.1,1,GCA_000963925,GCA_000963925.1,1231339,Acetobacter cibinongensis 4H-1,representative genome,PRJNA224116,SAMD00036631,BAMV00000000.1,,latest,Contig,Major,2015-03-21,ASM96392v1,Kinki University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/925/GCF_000963925.1_ASM96392v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter cibinongensis,4H-1,{},{},4112692,2018-03-28T14:09:26.728Z,2021-03-04T05:44:39.120Z,
3257,,GCF_000429165,GCF_000429165.1,1,GCA_000429165,GCA_000429165.1,1120919,Acetobacter nitrogenifigens DSM 23921 = LMG 23498,representative genome,PRJNA224116,SAMN02441211,AUBI00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42916v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/165/GCF_000429165.1_ASM42916v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter nitrogenifigens,DSM 23921 = LMG 23498,{},{},2441211,2018-03-28T14:09:27.249Z,2021-03-04T06:06:46.377Z,
3935,,GCF_001499675,GCF_001499675.1,1,GCA_001499675,GCA_001499675.1,431306,Acetobacter ghanensis,representative genome,PRJNA224116,SAMEA2738364,,,latest,Chromosome,Major,2016-01-03,Acetobacter ghanensis,Vrije Universiteit Brussel,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/675/GCF_001499675.1_Acetobacter_ghanensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter ghanensis,,{},{},4379295,2018-03-28T14:09:27.725Z,2021-03-04T06:27:06.778Z,
3988,,GCF_001499615,GCF_001499615.1,1,GCA_001499615,GCA_001499615.1,446692,Acetobacter senegalensis,representative genome,PRJNA224116,SAMEA2738517,,,latest,Complete Genome,Major,2016-01-03,Acetobacter senegalensis 108B,Vrije Universiteit Brussel,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/615/GCF_001499615.1_Acetobacter_senegalensis_108B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter senegalensis,,{},{},4378184,2018-03-28T14:09:27.759Z,2021-03-04T06:28:39.659Z,
4839,,GCF_000613285,GCF_000613285.1,1,GCA_000613285,GCA_000613285.1,1234671,Acetobacter papayae JCM 25143,representative genome,PRJNA224116,SAMD00008625,BAIN00000000.1,,latest,Contig,Major,2014-03-31,ASM61328v1,The University of Tokyo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/613/285/GCF_000613285.1_ASM61328v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter papayae,JCM 25143,{},{},2725211,2018-03-28T14:09:28.384Z,2021-03-04T06:53:46.835Z,
