id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
385,,GCF_000021345,GCF_000021345.1,1,GCA_000021345,GCA_000021345.1,395492,Rhizobium leguminosarum bv. trifolii WSM2304,representative genome,PRJNA224116,SAMN00000679,,,latest,Complete Genome,Major,2008-10-16,ASM2134v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/345/GCF_000021345.1_ASM2134v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium leguminosarum,bv. trifolii WSM2304,{},{},679,2018-03-28T14:09:25.282Z,2021-03-04T04:42:21.656Z,
388,,GCF_000330885,GCF_000330885.1,1,GCA_000330885,GCA_000330885.1,698761,Rhizobium tropici CIAT 899,representative genome,PRJNA224116,SAMN02604105,,,latest,Complete Genome,Major,2013-01-03,ASM33088v1,Universidad Nacional Autonoma de Mexico,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/885/GCF_000330885.1_ASM33088v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium tropici,CIAT 899,{},{},2604105,2018-03-28T14:09:25.282Z,2021-03-04T04:42:27.021Z,
1221,,GCF_000092045,GCF_000092045.1,1,GCA_000092045,GCA_000092045.1,347834,Rhizobium etli CFN 42,representative genome,PRJNA224116,SAMN02603106,,,latest,Complete Genome,Major,2006-03-06,ASM9204v1,"Centro de Ciencias Genomicas, Universidad Nacional Autonoma de Mexico",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium etli,CFN 42,{},{},2603106,2018-03-28T14:09:25.979Z,2021-03-04T05:07:10.633Z,
1798,,GCF_000816845,GCF_000816845.1,1,GCA_000816845,GCA_000816845.1,1418105,Rhizobium gallicum bv. gallicum R602,representative genome,PRJNA224116,SAMN02393724,,,latest,Complete Genome,Major,2015-01-09,ASM81684v1,Centro de Ciencias Genomicas UNAM,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/816/845/GCF_000816845.1_ASM81684v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium gallicum,bv. gallicum R602,{},{},2393724,2018-03-28T14:09:26.328Z,2021-03-04T05:24:15.827Z,
2025,,GCF_000621665,GCF_000621665.1,1,GCA_000621665,GCA_000621665.1,1370122,Rhizobium undicola ORS 992 = ATCC 700741,representative genome,PRJNA224116,SAMN02744004,JHXQ00000000.1,,latest,Scaffold,Major,2014-04-08,ASM62166v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/621/665/GCF_000621665.1_ASM62166v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium undicola,ORS 992 = ATCC 700741,{},{},2744004,2018-03-28T14:09:26.471Z,2021-03-04T05:30:53.477Z,
3307,,GCF_900094565,GCF_900094565.1,1,GCA_900094565,GCA_900094565.1,293958,Rhizobium lusitanum,representative genome,PRJNA224116,SAMN04487812,FMAF00000000.1,,latest,Scaffold,Major,2016-08-05,IMG-taxon 2615840626 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/565/GCF_900094565.1_IMG-taxon_2615840626_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium lusitanum,,{},{},4487812,2018-03-28T14:09:27.283Z,2021-03-04T06:08:16.671Z,
3538,,GCF_000577275,GCF_000577275.1,1,GCA_000577275,GCA_000577275.1,348824,Rhizobium favelukesii,representative genome,PRJNA224116,SAMEA3138925,CBYB000000000.1,,latest,Chromosome,Major,2014-02-11,LPU83,CEBITEC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/577/275/GCF_000577275.1_LPU83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium favelukesii,,{},{},3216371,2018-03-28T14:09:27.417Z,2021-03-04T06:15:21.073Z,
3844,,GCF_900094545,GCF_900094545.1,1,GCA_900094545,GCA_900094545.1,411945,Rhizobium miluonense,representative genome,PRJNA224116,SAMN04487813,FMAH00000000.1,,latest,Scaffold,Major,2016-08-04,IMG-taxon 2617270742 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/094/545/GCF_900094545.1_IMG-taxon_2617270742_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium miluonense,,{},{},4487813,2018-03-28T14:09:27.640Z,2021-03-04T06:24:29.237Z,
3996,,GCF_000518785,GCF_000518785.1,1,GCA_000518785,GCA_000518785.1,1336235,Rhizobium selenitireducens ATCC BAA-1503,representative genome,PRJNA224116,SAMN02584964,JAEG00000000.1,,latest,Scaffold,Major,2014-01-13,ASM51878v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/785/GCF_000518785.1_ASM51878v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium selenitireducens,ATCC BAA-1503,{},{},2584964,2018-03-28T14:09:27.759Z,2021-03-04T06:28:53.142Z,
4049,,GCF_900109605,GCF_900109605.1,1,GCA_900109605,GCA_900109605.1,464029,Rhizobium oryzae,representative genome,PRJNA224116,SAMN04487976,FOAM00000000.1,,latest,Scaffold,Major,2016-10-31,IMG-taxon 2617270885 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/605/GCF_900109605.1_IMG-taxon_2617270885_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium oryzae,,{},{},4487976,2018-03-28T14:09:27.791Z,2021-03-04T06:30:30.705Z,
4146,,GCF_000744505,GCF_000744505.1,1,GCA_000744505,GCA_000744505.1,492774,Rhizobium alamii,representative genome,PRJNA224116,SAMN02787137,JQMB00000000.1,,latest,Scaffold,Major,2014-08-28,ASM74450v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/744/505/GCF_000744505.1_ASM74450v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium alamii,,{},{},2787137,2018-03-28T14:09:27.860Z,2021-03-04T06:33:22.600Z,
5201,,GCF_002000045,GCF_002000045.1,1,GCA_002000045,GCA_002000045.1,1335061,Rhizobium flavum,representative genome,PRJNA224116,SAMN06309512,MUXO00000000.1,,latest,Scaffold,Major,2017-02-15,ASM200004v1,DSMZ,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/045/GCF_002000045.1_ASM200004v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium flavum,,{},{},6309512,2018-03-28T14:09:28.636Z,2021-03-04T07:04:44.523Z,
5586,,GCF_001938945,GCF_001938945.1,1,GCA_001938945,GCA_001938945.1,1672749,Rhizobium rhizosphaerae,representative genome,PRJNA224116,SAMN05832038,MKIO00000000.1,,latest,Scaffold,Major,2017-01-06,ASM193894v1,Chinese Academy of Agricultural Sciences,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/938/945/GCF_001938945.1_ASM193894v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium rhizosphaerae,,{},{},5832038,2018-03-28T14:09:28.969Z,2021-03-04T07:16:32.916Z,
5729,,GCF_001931685,GCF_001931685.1,1,GCA_001931685,GCA_001931685.1,1856850,Rhizobium arenae,representative genome,PRJNA224116,SAMN05958284,MOOY00000000.1,,latest,Contig,Major,2017-01-04,ASM193168v1,Applied and Environmental Microbiology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/685/GCF_001931685.1_ASM193168v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium arenae,,{},{},5958284,2018-03-28T14:09:29.072Z,2021-03-04T07:21:54.506Z,
5734,,GCF_001939045,GCF_001939045.1,1,GCA_001939045,GCA_001939045.1,1867956,Rhizobium oryziradicis,representative genome,PRJNA224116,SAMN05829247,MKIM00000000.1,,latest,Scaffold,Major,2017-01-06,ASM193904v1,Chinese Academy of Agricultural Sciences,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/939/045/GCF_001939045.1_ASM193904v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium oryziradicis,,{},{},5829247,2018-03-28T14:09:29.072Z,2021-03-04T07:22:04.430Z,
