id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
501,,GCF_000015445,GCF_000015445.1,1,GCA_000015445,GCA_000015445.1,360095,Bartonella bacilliformis KC583,representative genome,PRJNA224116,SAMN02604047,,,latest,Complete Genome,Major,2007-01-04,ASM1544v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella bacilliformis,KC583,{},{},2604047,2018-03-28T14:09:25.358Z,2021-03-04T04:45:44.455Z,
512,,GCF_000046685,GCF_000046685.1,1,GCA_000046685,GCA_000046685.1,283165,Bartonella quintana str. Toulouse,representative genome,PRJNA224116,SAMEA3138248,,,latest,Complete Genome,Major,2004-06-25,ASM4668v1,Uppsala Univ.,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/685/GCF_000046685.1_ASM4668v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella quintana,str. Toulouse,{},{},3215694,2018-03-28T14:09:25.392Z,2021-03-04T04:46:04.478Z,
1285,,GCF_000278155,GCF_000278155.1,1,GCA_000278155,GCA_000278155.1,1094553,Bartonella doshiae NCTC 12862 = ATCC 700133,representative genome,PRJNA224116,SAMN02596900,AILV00000000.1,,latest,Scaffold,Major,2012-07-25,Bart_dosh_NCTC_12862_R18_V1,Broad Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/155/GCF_000278155.1_Bart_dosh_NCTC_12862_R18_V1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella doshiae,NCTC 12862 = ATCC 700133,{},{},2596900,2018-03-28T14:09:26.012Z,2021-03-04T05:09:01.132Z,
1286,,GCF_000022725,GCF_000022725.1,1,GCA_000022725,GCA_000022725.1,634504,Bartonella grahamii as4aup,representative genome,PRJNA224116,SAMN02603206,,,latest,Complete Genome,Major,2009-06-19,ASM2272v1,"Dept. of Molecular Evolution, Uppsala University",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/725/GCF_000022725.1_ASM2272v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella grahamii,as4aup,{},{},2603206,2018-03-28T14:09:26.012Z,2021-03-04T05:09:02.473Z,
1287,,GCF_000278295,GCF_000278295.1,1,GCA_000278295,GCA_000278295.1,1094560,Bartonella taylorii 8TBB,representative genome,PRJNA224116,SAMN02596908,AIMD00000000.1,,latest,Scaffold,Major,2012-07-25,Bart_tayl_8TBB_V1,Broad Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/278/295/GCF_000278295.1_Bart_tayl_8TBB_V1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella taylorii,8TBB,{},{},2596908,2018-03-28T14:09:26.012Z,2021-03-04T05:09:03.628Z,
1288,,GCF_000341385,GCF_000341385.1,1,GCA_000341385,GCA_000341385.1,1094497,Bartonella vinsonii subsp. berkhoffii str. Winnie,representative genome,PRJNA224116,SAMN02604271,,,latest,Complete Genome,Major,2013-02-20,ASM34138v1,Uppsala University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/385/GCF_000341385.1_ASM34138v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella vinsonii,subsp. berkhoffii str. Winnie,{},{},2604271,2018-03-28T14:09:26.012Z,2021-03-04T05:09:05.516Z,
1457,,GCF_000046705,GCF_000046705.1,1,GCA_000046705,GCA_000046705.1,283166,Bartonella henselae str. Houston-1,representative genome,PRJNA224116,SAMEA3138249,,,latest,Complete Genome,Major,2004-06-25,ASM4670v1,Uppsala Univ.,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/705/GCF_000046705.1_ASM4670v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella henselae,str. Houston-1,{},{},3215695,2018-03-28T14:09:26.139Z,2021-03-04T05:13:53.587Z,
1724,,GCF_000280015,GCF_000280015.1,1,GCA_000280015,GCA_000280015.1,1094551,Bartonella alsatica IBS 382,representative genome,PRJNA224116,SAMN02596909,AIME00000000.1,,latest,Scaffold,Major,2012-07-25,Bart_alsa_IBS_382_V1,Broad Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/015/GCF_000280015.1_Bart_alsa_IBS_382_V1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella alsatica,IBS 382,{},{},2596909,2018-03-28T14:09:26.302Z,2021-03-04T05:21:54.375Z,
1793,,GCF_000253015,GCF_000253015.1,1,GCA_000253015,GCA_000253015.1,696125,Bartonella clarridgeiae 73,representative genome,PRJNA224116,SAMEA2272739,,,latest,Complete Genome,Major,2011-01-17,ASM25301v1,"Focal area Infection Biology, Biozentrum, University of Basel, Switzerland",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/015/GCF_000253015.1_ASM25301v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,Bartonella clarridgeiae,73,{},{},2484369,2018-03-28T14:09:26.328Z,2021-03-04T05:24:07.529Z,
