id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
353,,GCF_000203895,GCF_000203895.1,1,GCA_000203895,GCA_000203895.1,318586,Paracoccus denitrificans PD1222,representative genome,PRJNA224116,SAMN02598290,,,latest,Complete Genome,Major,2006-12-13,ASM20389v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/895/GCF_000203895.1_ASM20389v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus denitrificans,PD1222,{},{},2598290,2018-03-28T14:09:25.248Z,2021-03-04T04:41:28.937Z,
1332,,GCF_900110285,GCF_900110285.1,1,GCA_900110285,GCA_900110285.1,34002,Paracoccus alcaliphilus,representative genome,PRJNA224116,SAMN04489859,FODE00000000.1,,latest,Scaffold,Major,2016-10-31,IMG-taxon 2636415977 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/110/285/GCF_900110285.1_IMG-taxon_2636415977_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus alcaliphilus,,{},{},4489859,2018-03-28T14:09:26.039Z,2021-03-04T05:10:19.192Z,
1333,,GCF_000444995,GCF_000444995.1,1,GCA_000444995,GCA_000444995.1,1367847,Paracoccus aminophilus JCM 7686,representative genome,PRJNA224116,SAMN02604253,,,latest,Complete Genome,Major,2013-08-08,ASM44499v1,"University of Warsaw, Faculty of Biology, Institute of Microbiology, Department of Bacterial Genetics",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/995/GCF_000444995.1_ASM44499v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus aminophilus,JCM 7686,{},{},2604253,2018-03-28T14:09:26.039Z,2021-03-04T05:10:20.317Z,
1334,,GCF_001546115,GCF_001546115.1,1,GCA_001546115,GCA_001546115.1,34004,Paracoccus aminovorans,representative genome,PRJNA224116,SAMN04246163,LNBC00000000.1,,latest,Scaffold,Major,2016-02-02,ASM154611v1,"Institute of Soil Science, Chinese Academy of Sciences",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/546/115/GCF_001546115.1_ASM154611v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus aminovorans,,{},{},4246163,2018-03-28T14:09:26.039Z,2021-03-04T05:10:23.560Z,
1335,,GCF_000763885,GCF_000763885.1,1,GCA_000763885,GCA_000763885.1,34007,Paracoccus versutus,representative genome,PRJNA224116,SAMN02927209,JRKO00000000.1,,latest,Contig,Major,2014-10-06,ASM76388v1,Wadsworth Center / NYSDOH,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/885/GCF_000763885.1_ASM76388v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus versutus,,{},{},2927209,2018-03-28T14:09:26.039Z,2021-03-04T05:10:24.637Z,
1763,,GCF_900142875,GCF_900142875.1,1,GCA_900142875,GCA_900142875.1,53463,Paracoccus solventivorans,representative genome,PRJNA224116,SAMN05444389,FRCK00000000.1,,latest,Contig,Major,2016-12-03,IMG-taxon 2695420926 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/142/875/GCF_900142875.1_IMG-taxon_2695420926_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus solventivorans,,{},{},5444389,2018-03-28T14:09:26.327Z,2021-03-04T05:23:03.769Z,
1905,,GCF_900108405,GCF_900108405.1,1,GCA_900108405,GCA_900108405.1,65735,Paracoccus alkenifer,representative genome,PRJNA224116,SAMN04488075,FNXG00000000.1,,latest,Contig,Major,2016-10-27,IMG-taxon 2617270733 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/405/GCF_900108405.1_IMG-taxon_2617270733_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus alkenifer,,{},{},4488075,2018-03-28T14:09:26.386Z,2021-03-04T05:27:18.800Z,
2509,,GCF_002073635,GCF_002073635.2,2,GCA_002073635,GCA_002073635.2,147645,Paracoccus yeei,representative genome,PRJNA224116,SAMN04875578,,,latest,Complete Genome,Major,2018-03-01,ASM207363v2,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/635/GCF_002073635.2_ASM207363v2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus yeei,,{},{},4875578,2018-03-28T14:09:26.751Z,2021-03-04T05:45:01.758Z,
2741,,GCF_900199195,GCF_900199195.1,1,GCA_900199195,GCA_900199195.1,184748,Paracoccus seriniphilus,representative genome,PRJNA224116,SAMN05444959,FZQB00000000.1,,latest,Contig,Major,2017-07-16,IMG-taxon 2737471638 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/195/GCF_900199195.1_IMG-taxon_2737471638_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus seriniphilus,,{},{},5444959,2018-03-28T14:09:26.862Z,2021-03-04T05:51:45.902Z,
2765,,GCF_000420145,GCF_000420145.1,1,GCA_000420145,GCA_000420145.1,1266998,Paracoccus zeaxanthinifaciens ATCC 21588,representative genome,PRJNA224116,SAMN02441598,ATUJ00000000.1,,latest,Contig,Major,2013-07-09,ASM42014v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/145/GCF_000420145.1_ASM42014v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus zeaxanthinifaciens,ATCC 21588,{},{},2441598,2018-03-28T14:09:26.887Z,2021-03-04T05:52:25.931Z,
3484,,GCF_900102505,GCF_900102505.1,1,GCA_900102505,GCA_900102505.1,336292,Paracoccus tibetensis,representative genome,PRJNA224116,SAMN05660710,FMVT00000000.1,,latest,Scaffold,Major,2016-10-17,IMG-taxon 2596583549 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/102/505/GCF_900102505.1_IMG-taxon_2596583549_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus tibetensis,,{},{},5660710,2018-03-28T14:09:27.383Z,2021-03-04T06:13:40.231Z,
3611,,GCF_900111675,GCF_900111675.1,1,GCA_900111675,GCA_900111675.1,364199,Paracoccus homiensis,representative genome,PRJNA224116,SAMN04489858,FOHO00000000.1,,latest,Contig,Major,2016-10-31,IMG-taxon 2634166318 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/675/GCF_900111675.1_IMG-taxon_2634166318_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus homiensis,,{},{},4489858,2018-03-28T14:09:27.482Z,2021-03-04T06:17:38.418Z,
3666,,GCF_000763905,GCF_000763905.1,1,GCA_000763905,GCA_000763905.1,376733,Paracoccus halophilus,representative genome,PRJNA224116,SAMN02927210,JRKN00000000.1,,latest,Contig,Major,2014-10-06,ASM76390v1,Wadsworth Center / NYSDOH,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/763/905/GCF_000763905.1_ASM76390v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus halophilus,,{},{},2927210,2018-03-28T14:09:27.518Z,2021-03-04T06:19:12.235Z,
