index,id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
4805,5222,,GCF_001184205,GCF_001184205.1,1,GCA_001184205,GCA_001184205.1,1348163,Desulfocarbo indianensis,representative genome,PRJNA224116,SAMN03571290,LBMP00000000.1,,latest,Scaffold,Major,2015-07-21,ASM118420v1,Indiana University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/184/205/GCF_001184205.1_ASM118420v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfocarbo,Desulfocarbo indianensis,,{},{},3571290,2018-03-28T14:09:28.669Z,2021-03-04T07:05:24.455Z,
1537,1901,,GCF_000341395,GCF_000341395.1,1,GCA_000341395,GCA_000341395.1,1167006,Desulfocapsa sulfexigens DSM 10523,representative genome,PRJNA224116,SAMN02602964,,,latest,Complete Genome,Major,2013-02-20,ASM34139v1,"Aarhus University, Aarhus, Denmark",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/395/GCF_000341395.1_ASM34139v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,Desulfocapsa sulfexigens,DSM 10523,{},{},2602964,2018-03-28T14:09:26.386Z,2021-03-04T05:27:12.224Z,
258,552,,GCF_001854245,GCF_001854245.1,1,GCA_001854245,GCA_001854245.1,897,Desulfococcus multivorans,representative genome,PRJNA224116,SAMN04893606,,,latest,Complete Genome,Major,2016-10-26,ASM185424v1,"Federal Research Institute for Rural Areas, Forestry, and Fisheries, Thuenen Institute of Forest Genetics",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/245/GCF_001854245.1_ASM185424v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus multivorans,,{},{},4893606,2018-03-28T14:09:25.394Z,2021-03-04T04:47:11.492Z,
1336,1697,,GCF_900130015,GCF_900130015.1,1,GCA_900130015,GCA_900130015.1,1121409,Desulfofustis glycolicus DSM 9705,representative genome,PRJNA224116,SAMN02745124,FQXS00000000.1,,latest,Scaffold,Major,2016-12-03,IMG-taxon 2585428080 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/130/015/GCF_900130015.1_IMG-taxon_2585428080_annotated_assembly,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfofustis,Desulfofustis glycolicus,DSM 9705,{},{},2745124,2018-03-28T14:09:26.276Z,2021-03-04T05:21:06.853Z,
1369,1731,,GCF_000420085,GCF_000420085.1,1,GCA_000420085,GCA_000420085.1,1265505,Desulfospira joergensenii DSM 10085,representative genome,PRJNA224116,SAMN02440566,ATUG00000000.1,,latest,Contig,Major,2013-07-09,ASM42008v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/085/GCF_000420085.1_ASM42008v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfospira,Desulfospira joergensenii,DSM 10085,{},{},2440566,2018-03-28T14:09:26.302Z,2021-03-04T05:22:07.913Z,
3380,3782,,GCF_000519125,GCF_000519125.1,1,GCA_000519125,GCA_000519125.1,1121406,Desulfocurvus vexinensis DSM 17965,representative genome,PRJNA224116,SAMN02584926,JAEX00000000.1,,latest,Scaffold,Major,2014-01-13,ASM51912v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/519/125/GCF_000519125.1_ASM51912v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfocurvus,Desulfocurvus vexinensis,DSM 17965,{},{},2584926,2018-03-28T14:09:27.587Z,2021-03-04T06:22:35.273Z,
259,553,,GCF_000023225,GCF_000023225.1,1,GCA_000023225,GCA_000023225.1,525897,Desulfomicrobium baculatum DSM 4028,representative genome,PRJNA224116,SAMN00002602,,,latest,Complete Genome,Major,2009-08-26,ASM2322v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/225/GCF_000023225.1_ASM2322v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Desulfomicrobium baculatum,DSM 4028,{},{},2602,2018-03-28T14:09:25.394Z,2021-03-04T04:47:13.024Z,
252,544,,GCF_000022125,GCF_000022125.1,1,GCA_000022125,GCA_000022125.1,525146,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,representative genome,PRJNA224116,SAMN00001882,,,latest,Complete Genome,Major,2009-01-09,ASM2212v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/125/GCF_000022125.1_ASM2212v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans,subsp. desulfuricans str. ATCC 27774,{},{},1882,2018-03-28T14:09:25.393Z,2021-03-04T04:46:56.728Z,
921,1267,,GCF_000517565,GCF_000517565.1,1,GCA_000517565,GCA_000517565.1,694431,Desulfurella acetivorans A63,representative genome,PRJNA224116,SAMN02769651,,,latest,Complete Genome,Major,2014-01-13,ASM51756v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/517/565/GCF_000517565.1_ASM51756v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella,Desulfurella acetivorans,A63,{},{},2769651,2018-03-28T14:09:26.012Z,2021-03-04T05:08:30.501Z,
239,529,,GCF_000167355,GCF_000167355.1,1,GCA_000167355,GCA_000167355.1,281689,Desulfuromonas acetoxidans DSM 684,representative genome,PRJNA224116,SAMN02441806,AAEW00000000.2,,latest,Scaffold,Major,2006-05-12,ASM16735v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/355/GCF_000167355.1_ASM16735v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,Desulfuromonas acetoxidans,DSM 684,{},{},2441806,2018-03-28T14:09:25.393Z,2021-03-04T04:46:32.377Z,
