id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
275,,GCF_000378225,GCF_000378225.1,1,GCA_000378225,GCA_000378225.1,1122236,Methylophilus methylotrophus DSM 46235 = ATCC 53528,representative genome,PRJNA224116,SAMN02440991,ARJW00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37822v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/225/GCF_000378225.1_ASM37822v1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,Methylophilus methylotrophus,DSM 46235 = ATCC 53528,{},{},2440991,2018-03-28T14:09:25.187Z,2021-03-04T04:39:17.517Z,
287,,GCF_000382305,GCF_000382305.1,1,GCA_000382305,GCA_000382305.1,1123499,Vitreoscilla stercoraria DSM 513,representative genome,PRJNA224116,SAMN02441651,ARNN00000000.1,,latest,Scaffold,Major,2013-04-24,ASM38230v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/305/GCF_000382305.1_ASM38230v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla stercoraria,DSM 513,{},{},2441651,2018-03-28T14:09:25.187Z,2021-03-04T04:39:36.713Z,
288,,GCF_002222655,GCF_002222655.1,1,GCA_002222655,GCA_002222655.1,63,Vitreoscilla filiformis,representative genome,PRJNA224116,SAMN07313362,,,latest,Complete Genome,Major,2017-07-20,ASM222265v1,L'Oreal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/655/GCF_002222655.1_ASM222265v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla filiformis,,{},{},7313362,2018-03-28T14:09:25.187Z,2021-03-04T04:39:38.096Z,
290,,GCF_000163775,GCF_000163775.2,2,GCA_000163775,GCA_000163775.2,641147,Simonsiella muelleri ATCC 29453,representative genome,PRJNA224116,SAMN02463833,ADCY00000000.2,,latest,Scaffold,Major,2012-09-19,Simo_muel_ATCC_29453_V2,Broad Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/775/GCF_000163775.2_Simo_muel_ATCC_29453_V2,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Simonsiella muelleri,ATCC 29453,{},{},2463833,2018-03-28T14:09:25.187Z,2021-03-04T04:39:41.867Z,
321,,GCF_000420525,GCF_000420525.1,1,GCA_000420525,GCA_000420525.1,1121004,Aquaspirillum serpens DSM 68,representative genome,PRJNA224116,SAMN02440573,ATVC00000000.1,,latest,Contig,Major,2013-07-09,ASM42052v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/420/525/GCF_000420525.1_ASM42052v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum,Aquaspirillum serpens,DSM 68,{},{},2440573,2018-03-28T14:09:25.247Z,2021-03-04T04:40:34.715Z,
359,,GCF_000739375,GCF_000739375.1,1,GCA_000739375,GCA_000739375.1,1392005,Comamonas testosteroni TK102,representative genome,PRJNA224116,SAMN03081477,,,latest,Complete Genome,Major,2014-08-14,ASM73937v1,Shizuoka University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/375/GCF_000739375.1_ASM73937v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas testosteroni,TK102,{},{},3081477,2018-03-28T14:09:25.281Z,2021-03-04T04:41:38.044Z,
362,,GCF_001411495,GCF_001411495.1,1,GCA_001411495,GCA_001411495.1,983594,Burkholderia cepacia ATCC 25416,representative genome,PRJNA224116,SAMN04167160,,,latest,Complete Genome,Major,2015-10-22,ASM141149v1,Kyungpook National University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/411/495/GCF_001411495.1_ASM141149v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia,ATCC 25416,{},{},4167160,2018-03-28T14:09:25.281Z,2021-03-04T04:41:42.668Z,
367,,GCF_000009125,GCF_000009125.1,1,GCA_000009125,GCA_000009125.1,267608,Ralstonia solanacearum GMI1000,representative genome,PRJNA224116,SAMEA3138192,,,latest,Complete Genome,Major,2003-05-06,ASM912v1,Genoscope,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,GMI1000,{},{},3215638,2018-03-28T14:09:25.281Z,2021-03-04T04:41:50.172Z,
371,,GCF_000020205,GCF_000020205.1,1,GCA_000020205,GCA_000020205.1,402626,Ralstonia pickettii 12J,representative genome,PRJNA224116,SAMN02598396,,,latest,Complete Genome,Major,2008-05-07,ASM2020v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/205/GCF_000020205.1_ASM2020v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,12J,{},{},2598396,2018-03-28T14:09:25.282Z,2021-03-04T04:41:57.385Z,
414,,GCF_000006845,GCF_000006845.1,1,GCA_000006845,GCA_000006845.1,242231,Neisseria gonorrhoeae FA 1090,reference genome,PRJNA57611,SAMN02604088,,,latest,Complete Genome,Major,2005-02-14,ASM684v1,Univ. Oklahoma,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/845/GCF_000006845.1_ASM684v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria gonorrhoeae,FA 1090,{},{},2604088,2018-03-28T14:09:25.320Z,2021-03-04T04:43:11.855Z,
