,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,K420_RS0117175,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0117175,K420,-19.863594,-3.0385
1,K420_RS0117095,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0117095,K420,-25.475698,13.1176815
2,K420_RS0116980,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0116980,K420,16.55969,36.19029
3,K420_RS0116960,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,EAL,GCF_000519045.1-K420_RS0116960,K420,-2.6471362,-45.90574
4,K420_RS0116385,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GGDEF,GCF_000519045.1-K420_RS0116385,K420,-32.328953,-18.51448
5,K420_RS0115945,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,EAL,GCF_000519045.1-K420_RS0115945,K420,10.374791,4.2159247
6,K420_RS0115900,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HTH_8,GCF_000519045.1-K420_RS0115900,K420,6.3292527,-11.172652
7,K420_RS19260,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS19260,K420,14.335999,32.861294
8,K420_RS0117690,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,,GCF_000519045.1-K420_RS0117690,K420,-30.780748,21.27922
9,K420_RS19475,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,HD_5,GCF_000519045.1-K420_RS19475,K420,-8.537353,0.10626404
10,K420_RS0115500,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,GerE,GCF_000519045.1-K420_RS0115500,K420,37.915825,17.419353
11,K420_RS0115340,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0115340,K420,-5.936427,12.492484
12,K420_RS0115195,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0115195,K420,-4.223093,26.839802
13,K420_RS0115105,GCF_000519045.1,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas agitata,Trans_reg_C,GCF_000519045.1-K420_RS0115105,K420,-19.774815,5.6596575
