id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
274,,GCF_000020965,GCF_000020965.1,1,GCA_000020965,GCA_000020965.1,309799,Dictyoglomus thermophilum H-6-12,representative genome,PRJNA224116,SAMN02603928,,,latest,Complete Genome,Major,2008-09-26,ASM2096v1,The J. Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/965/GCF_000020965.1_ASM2096v1,Bacteria,Dictyoglomi,Dictyoglomia,Dictyoglomales,Dictyoglomaceae,Dictyoglomus,Dictyoglomus thermophilum,H-6-12,{},{},2603928,2018-03-28T14:09:25.187Z,2021-03-04T04:39:16.228Z,
276,,GCF_000012885,GCF_000012885.1,1,GCA_000012885,GCA_000012885.1,338963,Pelobacter carbinolicus DSM 2380,representative genome,PRJNA224116,SAMN02598295,,,latest,Complete Genome,Major,2006-03-30,ASM1288v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter carbinolicus,DSM 2380,{},{},2598295,2018-03-28T14:09:25.187Z,2021-03-04T04:39:19.207Z,
296,,GCF_000165715,GCF_000165715.2,2,GCA_000165715,GCA_000165715.3,756272,Rubinisphaera brasiliensis DSM 5305,representative genome,PRJNA224116,SAMN00103628,,,latest,Complete Genome,Major,2011-03-01,ASM16571v3,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/715/GCF_000165715.2_ASM16571v3,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis,DSM 5305,{},{},103628,2018-03-28T14:09:25.188Z,2021-03-04T04:39:50.890Z,
301,,GCF_000186345,GCF_000186345.1,1,GCA_000186345,GCA_000186345.1,575540,Isosphaera pallida ATCC 43644,representative genome,PRJNA224116,SAMN00138929,,,latest,Complete Genome,Major,2011-01-20,ASM18634v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/345/GCF_000186345.1_ASM18634v1,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Isosphaera,Isosphaera pallida,ATCC 43644,{},{},138929,2018-03-28T14:09:25.188Z,2021-03-04T04:39:59.890Z,
303,,GCF_000008685,GCF_000008685.2,2,GCA_000008685,GCA_000008685.2,224326,Borrelia burgdorferi B31,reference genome,PRJNA57581,SAMN02603966,,,latest,Complete Genome,Major,2011-11-09,ASM868v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/685/GCF_000008685.2_ASM868v2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,B31,{},{},2603966,2018-03-28T14:09:25.188Z,2021-03-04T04:40:04.154Z,
318,,GCF_000284315,GCF_000284315.1,1,GCA_000284315,GCA_000284315.1,1162668,Leptospirillum ferrooxidans C2-3,representative genome,PRJNA224116,SAMD00061058,,,latest,Complete Genome,Major,2012-03-30,ASM28431v1,"Ibaraki University, college of agriculture",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/315/GCF_000284315.1_ASM28431v1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans,C2-3,{},{},5831861,2018-03-28T14:09:25.247Z,2021-03-04T04:40:30.850Z,
324,,GCF_002024185,GCF_002024185.1,1,GCA_002024185,GCA_002024185.1,195,Campylobacter coli,representative genome,PRJNA224116,SAMN06456893,,,latest,Complete Genome,Major,2017-03-09,ASM202418v1,University of Nottingham,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/024/185/GCF_002024185.1_ASM202418v1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter coli,,{},{},6456893,2018-03-28T14:09:25.247Z,2021-03-04T04:40:39.171Z,
360,,GCF_000006765,GCF_000006765.1,1,GCA_000006765,GCA_000006765.1,208964,Pseudomonas aeruginosa PAO1,reference genome,PRJNA57945,SAMN02603714,,,latest,Complete Genome,Major,2006-07-07,ASM676v1,PathoGenesis Corporation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,PAO1,{},{},2603714,2018-03-28T14:09:25.281Z,2021-03-04T04:41:39.586Z,
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
513,,GCF_000008725,GCF_000008725.1,1,GCA_000008725,GCA_000008725.1,272561,Chlamydia trachomatis D/UW-3/CX,reference genome,PRJNA57637,SAMN02603114,,,latest,Complete Genome,Major,2001-01-09,ASM872v1,ChGP,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia trachomatis,D/UW-3/CX,{},{},2603114,2018-03-28T14:09:25.392Z,2021-03-04T04:46:06.553Z,
