,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,Mschef_RS14680,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,GerE,GCF_002077135.1-Mschef_RS14680,Mschef,25.191893,1.6847439
1,Mschef_RS14365,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS14365,Mschef,-2.4862971,15.579693
2,Mschef_RS14180,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS14180,Mschef,3.270446,19.891834
3,Mschef_RS14140,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS14140,Mschef,-5.210854,-1.004622
4,Mschef_RS12860,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS12860,Mschef,-13.969605,8.921496
5,Mschef_RS12775,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,,GCF_002077135.1-Mschef_RS12775,Mschef,5.880465,-12.387558
6,Mschef_RS12770,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,,GCF_002077135.1-Mschef_RS12770,Mschef,-1.5092058,-19.02818
7,Mschef_RS11050,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS11050,Mschef,-8.3497925,-6.8881583
8,Mschef_RS12290,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS12290,Mschef,-22.342495,-3.8275833
9,Mschef_RS10365,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,,GCF_002077135.1-Mschef_RS10365,Mschef,-0.4046269,-20.13102
10,Mschef_RS09470,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,GerE,GCF_002077135.1-Mschef_RS09470,Mschef,28.507343,-3.0885487
11,Mschef_RS08085,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS08085,Mschef,-9.69463,22.120058
12,Mschef_RS07335,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,GerE,GCF_002077135.1-Mschef_RS07335,Mschef,21.735405,-1.0143003
13,Mschef_RS08895,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,,GCF_002077135.1-Mschef_RS08895,Mschef,-27.723318,5.766239
14,Mschef_RS08770,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS08770,Mschef,0.8722646,16.493116
15,Mschef_RS08485,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,GerE,GCF_002077135.1-Mschef_RS08485,Mschef,21.922493,-6.676154
16,Mschef_RS05760,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,GerE,GCF_002077135.1-Mschef_RS05760,Mschef,7.645743,-22.066559
17,Mschef_RS07280,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS07280,Mschef,-24.129297,-0.7302474
18,Mschef_RS05445,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS05445,Mschef,0.8712242,16.396923
19,Mschef_RS04160,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS04160,Mschef,-13.553741,0.93829167
20,Mschef_RS04140,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,,GCF_002077135.1-Mschef_RS04140,Mschef,-28.80304,-10.277978
21,Mschef_RS03660,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,LytTR,GCF_002077135.1-Mschef_RS03660,Mschef,18.978477,6.6269493
22,Mschef_RS03525,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,HTH_8,GCF_002077135.1-Mschef_RS03525,Mschef,7.398202,15.992984
23,Mschef_RS03465,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS03465,Mschef,-18.96132,7.412222
24,Mschef_RS02910,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,EAL,GCF_002077135.1-Mschef_RS02910,Mschef,-5.265888,4.335859
25,Mschef_RS02405,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS02405,Mschef,-22.597618,-4.445375
26,Mschef_RS01795,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS01795,Mschef,-20.48154,5.159392
27,Mschef_RS01030,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,EAL,GCF_002077135.1-Mschef_RS01030,Mschef,15.522511,-14.169587
28,Mschef_RS00685,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,Trans_reg_C,GCF_002077135.1-Mschef_RS00685,Mschef,-19.020376,7.397961
29,Mschef_RS15895,GCF_002077135.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Metallibacterium,Metallibacterium scheffleri,LytTR,GCF_002077135.1-Mschef_RS15895,Mschef,17.817894,7.600768
30,GLE_RS24435,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,GerE,GCF_001442515.1-GLE_RS24435,GLE,30.952425,-4.053882
31,GLE_RS24425,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,GCF_001442515.1-GLE_RS24425,GLE,20.093834,-23.028934
32,GLE_RS23320,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,GerE,GCF_001442515.1-GLE_RS23320,GLE,22.69547,-0.1833865
33,GLE_RS23235,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,Trans_reg_C,GCF_001442515.1-GLE_RS23235,GLE,-21.7755,3.9348958
34,GLE_RS22855,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,EAL,GCF_001442515.1-GLE_RS22855,GLE,11.239821,0.3345231
35,GLE_RS22720,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,HTH_8,GCF_001442515.1-GLE_RS22720,GLE,-10.202921,22.300322
36,GLE_RS22665,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,GerE,GCF_001442515.1-GLE_RS22665,GLE,11.277915,7.496532
37,GLE_RS22360,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,HTH_8,GCF_001442515.1-GLE_RS22360,GLE,8.032458,15.806998
38,GLE_RS23510,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,GCF_001442515.1-GLE_RS23510,GLE,-12.477104,-20.705742
39,GLE_RS21770,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,GCF_001442515.1-GLE_RS21770,GLE,-28.839651,-10.300068
40,GLE_RS21720,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,Trans_reg_C,GCF_001442515.1-GLE_RS21720,GLE,-23.508375,-4.4801044
41,GLE_RS21670,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,Trans_reg_C,GCF_001442515.1-GLE_RS21670,GLE,-18.137493,-5.058155
42,GLE_RS21210,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,Trans_reg_C,GCF_001442515.1-GLE_RS21210,GLE,-22.004457,-1.3282133
43,GLE_RS21090,GCF_001442515.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,Trans_reg_C,GCF_001442515.1-GLE_RS21090,GLE,-22.31389,6.42036
