id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
422,,GCF_000021685,GCF_000021685.1,1,GCA_000021685,GCA_000021685.1,309801,Thermomicrobium roseum DSM 5159,representative genome,PRJNA224116,SAMN02603430,,,latest,Complete Genome,Major,2009-01-22,ASM2168v1,J Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/685/GCF_000021685.1_ASM2168v1,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum,DSM 5159,{},{},2603430,2018-03-28T14:09:25.320Z,2021-03-04T04:43:27.132Z,
1014,,GCF_000024985,GCF_000024985.1,1,GCA_000024985,GCA_000024985.1,479434,Sphaerobacter thermophilus DSM 20745,representative genome,PRJNA224116,SAMN02598446,,,latest,Complete Genome,Major,2009-11-23,ASM2498v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/985/GCF_000024985.1_ASM2498v1,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,DSM 20745,{},{},2598446,2018-03-28T14:09:25.798Z,2021-03-04T05:01:10.173Z,
1858,,GCF_000011905,GCF_000011905.1,1,GCA_000011905,GCA_000011905.1,243164,Dehalococcoides mccartyi 195,representative genome,PRJNA224116,SAMN02603990,,,latest,Complete Genome,Major,2005-01-07,ASM1190v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/905/GCF_000011905.1_ASM1190v1,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,195,{},{},2603990,2018-03-28T14:09:26.386Z,2021-03-04T05:25:55.110Z,
1955,,GCF_001306135,GCF_001306135.1,1,GCA_001306135,GCA_001306135.1,70996,Herpetosiphon geysericola,representative genome,PRJNA224116,SAMN03274862,LGKP00000000.1,,latest,Contig,Major,2015-10-02,ASM130613v1,California Institute of Technology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/306/135/GCF_001306135.1_ASM130613v1,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon geysericola,,{},{},3274862,2018-03-28T14:09:26.411Z,2021-03-04T05:28:55.212Z,
2383,,GCF_000017805,GCF_000017805.1,1,GCA_000017805,GCA_000017805.1,383372,Roseiflexus castenholzii DSM 13941,representative genome,PRJNA224116,SAMN02598306,,,latest,Complete Genome,Major,2007-08-23,ASM1780v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/805/GCF_000017805.1_ASM1780v1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus castenholzii,DSM 13941,{},{},2598306,2018-03-28T14:09:26.677Z,2021-03-04T05:41:26.684Z,
2424,,GCF_000281175,GCF_000281175.1,1,GCA_000281175,GCA_000281175.1,926550,Caldilinea aerophila DSM 14535 = NBRC 104270,representative genome,PRJNA224116,SAMD00061033,,,latest,Complete Genome,Major,2012-03-28,ASM28117v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/175/GCF_000281175.1_ASM28117v1,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,DSM 14535 = NBRC 104270,{},{},5831836,2018-03-28T14:09:26.705Z,2021-03-04T05:42:36.303Z,
3590,,GCF_001050235,GCF_001050235.1,1,GCA_001050235,GCA_001050235.2,360412,Longilinea arvoryzae,representative genome,PRJNA224116,SAMD00034889,BBXY00000000.1,,latest,Scaffold,Major,2015-07-24,ASM105023v2,National Institute of Advanced Industrial Science and Technology (AIST),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/235/GCF_001050235.1_ASM105023v2,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,Longilinea arvoryzae,,{},{},4092278,2018-03-28T14:09:27.452Z,2021-03-04T06:17:00.596Z,
4282,,GCF_000143165,GCF_000143165.1,1,GCA_000143165,GCA_000143165.1,552811,Dehalogenimonas lykanthroporepellens BL-DC-9,representative genome,PRJNA224116,SAMN02598529,,,latest,Complete Genome,Major,2010-06-25,ASM14316v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/165/GCF_000143165.1_ASM14316v1,Bacteria,Chloroflexi,Dehalococcoidia,,,Dehalogenimonas,Dehalogenimonas lykanthroporepellens,BL-DC-9,{},{},2598529,2018-03-28T14:09:27.959Z,2021-03-04T06:37:27.180Z,
4581,,GCF_001748285,GCF_001748285.1,1,GCA_001748285,GCA_001748285.1,732234,Thermogemmatispora onikobensis,representative genome,PRJNA224116,SAMD00057755,BDGT00000000.1,,latest,Contig,Major,2016-08-19,ASM174828v1,National Institute of Technology and Evaluation Biological Resource Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/748/285/GCF_001748285.1_ASM174828v1,Bacteria,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,Thermogemmatispora,Thermogemmatispora onikobensis,,{},{},5601083,2018-03-28T14:09:28.191Z,2021-03-04T06:46:11.788Z,
4653,,GCF_001293545,GCF_001293545.1,1,GCA_001293545,GCA_001293545.1,872965,Ardenticatena maritima,representative genome,PRJNA224116,SAMD00035849,BBZA00000000.1,,latest,Scaffold,Major,2015-08-06,ASM129354v1,RIKEN Center for Sustainable Resource Science,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/545/GCF_001293545.1_ASM129354v1,Bacteria,Chloroflexi,Ardenticatenia,Ardenticatenales,Ardenticatenaceae,Ardenticatena,Ardenticatena maritima,,{},{},4092322,2018-03-28T14:09:28.228Z,2021-03-04T06:48:17.152Z,
