id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
292,,GCF_000427405,GCF_000427405.1,1,GCA_000427405,GCA_000427405.1,929703,Flectobacillus major DSM 103,representative genome,PRJNA224116,SAMN00262208,ATXY00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42740v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/405/GCF_000427405.1_ASM42740v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus,Flectobacillus major,DSM 103,{},{},262208,2018-03-28T14:09:25.188Z,2021-03-04T04:39:44.063Z,
293,,GCF_000222485,GCF_000222485.1,1,GCA_000222485,GCA_000222485.1,880070,Cyclobacterium marinum DSM 745,representative genome,PRJNA224116,SAMN02261369,,,latest,Complete Genome,Major,2011-08-03,ASM22248v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/485/GCF_000222485.1_ASM22248v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cyclobacterium,Cyclobacterium marinum,DSM 745,{},{},2261369,2018-03-28T14:09:25.188Z,2021-03-04T04:39:46.355Z,
294,,GCF_000218895,GCF_000218895.1,1,GCA_000218895,GCA_000218895.1,761193,Runella slithyformis DSM 19594,representative genome,PRJNA224116,SAMN02232050,,,latest,Complete Genome,Major,2011-06-17,ASM21889v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/895/GCF_000218895.1_ASM21889v1,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,Runella slithyformis,DSM 19594,{},{},2232050,2018-03-28T14:09:25.188Z,2021-03-04T04:39:48.455Z,
343,,GCF_000757385,GCF_000757385.1,1,GCA_000757385,GCA_000757385.1,1453498,Flavobacterium aquatile LMG 4008 = ATCC 11947,representative genome,PRJNA224116,SAMN03025770,JRHH00000000.1,,latest,Contig,Major,2014-09-23,ASM75738v1,GCAT-SEEK,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/385/GCF_000757385.1_ASM75738v1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium aquatile,LMG 4008 = ATCC 11947,{},{},3025770,2018-03-28T14:09:25.248Z,2021-03-04T04:41:12.435Z,
344,,GCF_000382425,GCF_000382425.1,1,GCA_000382425,GCA_000382425.1,1218108,Empedobacter brevis NBRC 14943 = ATCC 43319,representative genome,PRJNA224116,SAMN02440982,ARNT00000000.1,,latest,Scaffold,Major,2013-04-24,ASM38242v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/382/425/GCF_000382425.1_ASM38242v1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Empedobacter,Empedobacter brevis,NBRC 14943 = ATCC 43319,{},{},2440982,2018-03-28T14:09:25.248Z,2021-03-04T04:41:13.953Z,
345,,GCF_000425585,GCF_000425585.1,1,GCA_000425585,GCA_000425585.1,1123356,Terrimonas ferruginea DSM 30193,representative genome,PRJNA224116,SAMN02440863,AUDS00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42558v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/585/GCF_000425585.1_ASM42558v1,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas ferruginea,DSM 30193,{},{},2440863,2018-03-28T14:09:25.248Z,2021-03-04T04:41:16.022Z,
346,,GCF_000355905,GCF_000355905.1,1,GCA_000355905,GCA_000355905.1,1189619,Psychroflexus gondwanensis ACAM 44,representative genome,PRJNA224116,SAMN02471957,APLF00000000.1,,latest,Contig,Major,2013-04-08,Pgondw1.0,University of Tasmania,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/355/905/GCF_000355905.1_Pgondw1.0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,Psychroflexus gondwanensis,ACAM 44,{},{},2471957,2018-03-28T14:09:25.248Z,2021-03-04T04:41:17.064Z,
347,,GCF_001295265,GCF_001295265.1,1,GCA_001295265,GCA_001295265.1,253,Chryseobacterium indologenes,representative genome,PRJNA224116,SAMN04074747,LJOD00000000.1,,latest,Contig,Major,2015-09-21,ASM129526v1,UNIVERSITY OF MALAYA,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/295/265/GCF_001295265.1_ASM129526v1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Chryseobacterium indologenes,,{},{},4074747,2018-03-28T14:09:25.248Z,2021-03-04T04:41:19.266Z,
349,,GCF_000243275,GCF_000243275.1,1,GCA_000243275,GCA_000243275.1,929704,Myroides odoratus DSM 2801,representative genome,PRJNA224116,SAMN02256523,AHKQ00000000.1,,latest,Chromosome,Major,2012-01-24,ASM24327v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/275/GCF_000243275.1_ASM24327v1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratus,DSM 2801,{},{},2256523,2018-03-28T14:09:25.248Z,2021-03-04T04:41:23.494Z,
350,,GCF_000143765,GCF_000143765.1,1,GCA_000143765,GCA_000143765.1,525373,Sphingobacterium spiritivorum ATCC 33861,representative genome,PRJNA224116,SAMN00001488,ACHA00000000.2,,latest,Scaffold,Major,2010-07-22,ASM14376v1,BCM,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/765/GCF_000143765.1_ASM14376v1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium spiritivorum,ATCC 33861,{},{},1488,2018-03-28T14:09:25.248Z,2021-03-04T04:41:24.832Z,
