,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,SPV1_RS06715,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS06715,SPV1,0.8952961,-18.257322
1,SPV1_RS06540,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06540,SPV1,-40.94232,-36.010635
2,SPV1_RS06340,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD,GCF_000153765.1-SPV1_RS06340,SPV1,-4.2825165,-31.696077
3,SPV1_RS06335,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS06335,SPV1,26.419294,24.478153
4,SPV1_RS06325,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06325,SPV1,-36.820515,7.850809
5,SPV1_RS06205,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06205,SPV1,-19.67173,-7.3171782
6,SPV1_RS05000,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS05000,SPV1,-6.83805,12.787167
7,SPV1_RS04245,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS04245,SPV1,-12.57597,31.259167
8,SPV1_RS04090,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS04090,SPV1,4.0886188,-14.00627
9,SPV1_RS03740,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS03740,SPV1,-22.32125,-20.49569
10,SPV1_RS03335,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD_5,GCF_000153765.1-SPV1_RS03335,SPV1,32.792038,23.831545
11,SPV1_RS03095,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS03095,SPV1,-3.1769907,-24.629337
12,SPV1_RS03045,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS03045,SPV1,48.974556,14.222272
13,SPV1_RS05820,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS05820,SPV1,-3.7087452,-1.6429001
14,SPV1_RS05745,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD,GCF_000153765.1-SPV1_RS05745,SPV1,46.48022,18.751556
15,SPV1_RS05155,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Trans_reg_C,GCF_000153765.1-SPV1_RS05155,SPV1,32.928055,-31.001205
16,SPV1_RS02090,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Guanylate_cyc,GCF_000153765.1-SPV1_RS02090,SPV1,36.82305,21.991308
17,SPV1_RS00925,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS00925,SPV1,-17.661217,14.77132
