id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
276,,GCF_000012885,GCF_000012885.1,1,GCA_000012885,GCA_000012885.1,338963,Pelobacter carbinolicus DSM 2380,representative genome,PRJNA224116,SAMN02598295,,,latest,Complete Genome,Major,2006-03-30,ASM1288v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter carbinolicus,DSM 2380,{},{},2598295,2018-03-28T14:09:25.187Z,2021-03-04T04:39:19.207Z,
279,,GCF_000219105,GCF_000219105.1,1,GCA_000219105,GCA_000219105.1,483219,Myxococcus fulvus HW-1,representative genome,PRJNA224116,SAMN02603152,,,latest,Complete Genome,Major,2011-06-22,ASM21910v1,"College of Life Science, Shandong University",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,HW-1,{},{},2603152,2018-03-28T14:09:25.187Z,2021-03-04T04:39:23.340Z,
280,,GCF_000012685,GCF_000012685.1,1,GCA_000012685,GCA_000012685.1,246197,Myxococcus xanthus DK 1622,representative genome,PRJNA224116,SAMN02604018,,,latest,Complete Genome,Major,2006-06-07,ASM1268v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,DK 1622,{},{},2604018,2018-03-28T14:09:25.187Z,2021-03-04T04:39:25.118Z,
281,,GCF_000165485,GCF_000165485.1,1,GCA_000165485,GCA_000165485.1,378806,Stigmatella aurantiaca DW4/3-1,representative genome,PRJNA224116,SAMN02603592,,,latest,Complete Genome,Major,2010-10-21,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca,DW4/3-1,{},{},2603592,2018-03-28T14:09:25.187Z,2021-03-04T04:39:26.237Z,
282,,GCF_000335475,GCF_000335475.2,2,GCA_000335475,GCA_000335475.2,1242864,Cystobacter fuscus DSM 2262,representative genome,PRJNA224116,SAMN02470006,ANAH00000000.2,,latest,Contig,Major,2013-07-30,ASM33547v2,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/475/GCF_000335475.2_ASM33547v2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,DSM 2262,{},{},2470006,2018-03-28T14:09:25.187Z,2021-03-04T04:39:27.339Z,
283,,GCF_001027285,GCF_001027285.1,1,GCA_001027285,GCA_001027285.1,48,Archangium gephyra,representative genome,PRJNA224116,SAMN03704078,,,latest,Complete Genome,Major,2015-06-03,ASM102728v1,"Dr. Srikrishna Subramanian, Protein Science and Engineering, Institute of Microbial Technology, Chandigarh, India",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium gephyra,,{},{},3704078,2018-03-28T14:09:25.187Z,2021-03-04T04:39:29.506Z,
284,,GCF_000601485,GCF_000601485.1,1,GCA_000601485,GCA_000601485.1,1192034,Chondromyces apiculatus DSM 436,representative genome,PRJNA224116,SAMN02952950,ASRX00000000.1,,latest,Contig,Major,2014-03-27,Chondromyces apiculatus DSM 436 genome assembly,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/601/485/GCF_000601485.1_Chondromyces_apiculatus_DSM_436_genome_assembly,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces apiculatus,DSM 436,{},{},2952950,2018-03-28T14:09:25.187Z,2021-03-04T04:39:31.056Z,
285,,GCF_001189295,GCF_001189295.1,1,GCA_001189295,GCA_001189295.1,52,Chondromyces crocatus,representative genome,PRJNA224116,SAMN03651481,,,latest,Complete Genome,Major,2015-07-30,ASM118929v1,Helmholtz Centre for Infection Research,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,Chondromyces crocatus,,{},{},3651481,2018-03-28T14:09:25.187Z,2021-03-04T04:39:32.776Z,
286,,GCF_000067165,GCF_000067165.1,1,GCA_000067165,GCA_000067165.1,448385,Sorangium cellulosum So ce56,representative genome,PRJNA224116,SAMEA3138271,,,latest,Complete Genome,Major,2007-11-27,ASM6716v1,Bielefeld Univ,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,Sorangium cellulosum,So ce56,{},{},3215717,2018-03-28T14:09:25.187Z,2021-03-04T04:39:34.881Z,
529,,GCF_000167355,GCF_000167355.1,1,GCA_000167355,GCA_000167355.1,281689,Desulfuromonas acetoxidans DSM 684,representative genome,PRJNA224116,SAMN02441806,AAEW00000000.2,,latest,Scaffold,Major,2006-05-12,ASM16735v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/167/355/GCF_000167355.1_ASM16735v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,Desulfuromonas acetoxidans,DSM 684,{},{},2441806,2018-03-28T14:09:25.393Z,2021-03-04T04:46:32.377Z,
544,,GCF_000022125,GCF_000022125.1,1,GCA_000022125,GCA_000022125.1,525146,Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774,representative genome,PRJNA224116,SAMN00001882,,,latest,Complete Genome,Major,2009-01-09,ASM2212v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/125/GCF_000022125.1_ASM2212v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans,subsp. desulfuricans str. ATCC 27774,{},{},1882,2018-03-28T14:09:25.393Z,2021-03-04T04:46:56.728Z,
546,,GCF_000179555,GCF_000179555.1,1,GCA_000179555,GCA_000179555.1,596151,Desulfovibrio fructosivorans JJ,representative genome,PRJNA224116,SAMN00103625,AECZ00000000.1,,latest,Contig,Major,2010-08-10,ASM17955v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/555/GCF_000179555.1_ASM17955v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio fructosivorans,JJ,{},{},103625,2018-03-28T14:09:25.393Z,2021-03-04T04:47:00.154Z,
547,,GCF_000468495,GCF_000468495.1,1,GCA_000468495,GCA_000468495.1,1121448,Desulfovibrio gigas DSM 1382 = ATCC 19364,representative genome,PRJNA224116,SAMN02603429,,,latest,Chromosome,Major,2013-09-18,ASM46849v1,ITQB Antonio Xavier - UNL,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/495/GCF_000468495.1_ASM46849v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio gigas,DSM 1382 = ATCC 19364,{},{},2603429,2018-03-28T14:09:25.393Z,2021-03-04T04:47:02.376Z,
