id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
890,,GCF_001941425,GCF_001941425.1,1,GCA_001941425,GCA_001941425.1,649754,Corynebacterium ammoniagenes DSM 20306,representative genome,PRJNA224116,SAMN02996495,,,latest,Complete Genome,Major,2017-01-10,ASM194142v1,Bielefeld University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/425/GCF_001941425.1_ASM194142v1,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ammoniagenes,DSM 20306,{},{},12520006,2018-03-28T14:09:25.674Z,2021-03-04T04:57:31.056Z,
954,,GCF_000062885,GCF_000062885.1,1,GCA_000062885,GCA_000062885.1,405948,Saccharopolyspora erythraea NRRL 2338,representative genome,PRJNA224116,SAMEA2272514,,,latest,Complete Genome,Major,2007-03-21,ASM6288v1,"Department of Biochemistry, University of Cambridge",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/062/885/GCF_000062885.1_ASM6288v1,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora erythraea,NRRL 2338,{},{},2484162,2018-03-28T14:09:25.712Z,2021-03-04T04:59:23.869Z,
964,,GCF_000284295,GCF_000284295.1,1,GCA_000284295,GCA_000284295.1,512565,Actinoplanes missouriensis 431,representative genome,PRJNA224116,SAMD00060941,,,latest,Complete Genome,Major,2012-03-28,ASM28429v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/295/GCF_000284295.1_ASM28429v1,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis,431,{},{},5831744,2018-03-28T14:09:25.761Z,2021-03-04T04:59:39.945Z,
1529,,GCF_000661895,GCF_000661895.1,1,GCA_000661895,GCA_000661895.1,42256,Rubrobacter radiotolerans,representative genome,PRJNA224116,SAMN02708830,,,latest,Complete Genome,Major,2014-05-01,ASM66189v1,Biocant,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/661/895/GCF_000661895.1_ASM66189v1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,Rubrobacter radiotolerans,,{},{},2708830,2018-03-28T14:09:26.171Z,2021-03-04T05:16:06.231Z,
3315,,GCF_000519325,GCF_000519325.1,1,GCA_000519325,GCA_000519325.1,929712,Patulibacter minatonensis DSM 18081,representative genome,PRJNA224116,SAMN02584907,JAFH00000000.1,,latest,Scaffold,Major,2014-01-13,ASM51932v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/519/325/GCF_000519325.1_ASM51932v1,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter,Patulibacter minatonensis,DSM 18081,{},{},2584907,2018-03-28T14:09:27.283Z,2021-03-04T06:08:34.346Z,
3347,,GCF_000504285,GCF_000504285.1,1,GCA_000504285,GCA_000504285.1,479430,Actinospica robiniae DSM 44927,representative genome,PRJNA224116,SAMN02597168,AZAN00000000.1,,latest,Scaffold,Major,2013-12-05,ASM50428v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/504/285/GCF_000504285.1_ASM50428v1,Bacteria,Actinobacteria,Actinobacteria,Catenulisporales,Actinospicaceae,Actinospica,Actinospica robiniae,DSM 44927,{},{},2597168,2018-03-28T14:09:27.284Z,2021-03-04T06:09:31.051Z,
3920,,GCF_000969705,GCF_000969705.1,1,GCA_000969705,GCA_000969705.1,1069448,Nitriliruptor alkaliphilus DSM 45188,representative genome,PRJNA224116,SAMN02745916,LATF00000000.1,,latest,Scaffold,Major,2015-04-06,ASM96970v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/705/GCF_000969705.1_ASM96970v1,Bacteria,Actinobacteria,Nitriliruptoria,Nitriliruptorales,Nitriliruptoraceae,Nitriliruptor,Nitriliruptor alkaliphilus,DSM 45188,{},{},2745916,2018-03-28T14:09:27.724Z,2021-03-04T06:26:42.373Z,
4065,,GCF_000210055,GCF_000210055.1,1,GCA_000210055,GCA_000210055.1,657308,Gordonibacter pamelaeae 7-10-1-b,representative genome,PRJNA224116,SAMEA3138362,,,latest,Chromosome,Major,2010-04-23,ASM21005v1,MetaHIT,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/055/GCF_000210055.1_ASM21005v1,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,7-10-1-b,{},{},3215808,2018-03-28T14:09:27.824Z,2021-03-04T06:30:59.148Z,
4259,,GCF_900105065,GCF_900105065.1,1,GCA_900105065,GCA_900105065.1,546871,Friedmanniella luteola,representative genome,PRJNA224116,SAMN04488543,,,latest,Chromosome,Major,2016-10-20,IMG-taxon 2630969010 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/065/GCF_900105065.1_IMG-taxon_2630969010_annotated_assembly,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Friedmanniella,Friedmanniella luteola,,{},{},4488543,2018-03-28T14:09:27.959Z,2021-03-04T06:36:45.002Z,
4295,,GCF_001887245,GCF_001887245.1,1,GCA_001887245,GCA_001887245.1,556325,Neomicrococcus aestuarii,representative genome,PRJNA224116,SAMN05728458,,,latest,Complete Genome,Major,2016-11-29,ASM188724v1,"Southeast Chongqing Academy of Agricultural Sciences, Chongqing, 40030 P. R. China",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/245/GCF_001887245.1_ASM188724v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Neomicrococcus,Neomicrococcus aestuarii,,{},{},5728458,2018-03-28T14:09:27.959Z,2021-03-04T06:37:50.639Z,
