id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
282,,GCF_000335475,GCF_000335475.2,2,GCA_000335475,GCA_000335475.2,1242864,Cystobacter fuscus DSM 2262,representative genome,PRJNA224116,SAMN02470006,ANAH00000000.2,,latest,Contig,Major,2013-07-30,ASM33547v2,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/475/GCF_000335475.2_ASM33547v2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,DSM 2262,{},{},2470006,2018-03-28T14:09:25.187Z,2021-03-04T04:39:27.339Z,
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
488,,GCF_000027305,GCF_000027305.1,1,GCA_000027305,GCA_000027305.1,71421,Haemophilus influenzae Rd KW20,reference genome,PRJNA57771,SAMN02603991,,,latest,Complete Genome,Major,1999-12-22,ASM2730v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,Rd KW20,{},{},2603991,2018-03-28T14:09:25.358Z,2021-03-04T04:45:21.425Z,
543,,GCF_000015345,GCF_000015345.1,1,GCA_000015345,GCA_000015345.1,246195,Dichelobacter nodosus VCS1703A,representative genome,PRJNA224116,SAMN02603972,,,latest,Complete Genome,Major,2007-05-04,ASM1534v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/345/GCF_000015345.1_ASM1534v1,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Dichelobacter,Dichelobacter nodosus,VCS1703A,{},{},2603972,2018-03-28T14:09:25.393Z,2021-03-04T04:46:55.611Z,
562,,GCF_000021485,GCF_000021485.1,1,GCA_000021485,GCA_000021485.1,243159,Acidithiobacillus ferrooxidans ATCC 23270,representative genome,PRJNA224116,SAMN02603974,,,latest,Complete Genome,Major,2008-12-19,ASM2148v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/485/GCF_000021485.1_ASM2148v1,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,ATCC 23270,{},{},2603974,2018-03-28T14:09:25.428Z,2021-03-04T04:47:27.337Z,
634,,GCF_000013085,GCF_000013085.1,1,GCA_000013085,GCA_000013085.1,269796,Rhodospirillum rubrum ATCC 11170,reference genome,PRJNA57655,SAMN02598538,,,latest,Complete Genome,Major,2005-12-12,ASM1308v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/085/GCF_000013085.1_ASM1308v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum,ATCC 11170,{},{},2598538,2018-03-28T14:09:25.467Z,2021-03-04T04:49:41.001Z,
1391,,GCF_000701705,GCF_000701705.1,1,GCA_000701705,GCA_000701705.1,1408428,Bilophila wadsworthia ATCC 49260,representative genome,PRJNA224116,SAMN02841163,JNJP00000000.1,,latest,Scaffold,Major,2014-06-11,ASM70170v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/705/GCF_000701705.1_ASM70170v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia,ATCC 49260,{},{},2841163,2018-03-28T14:09:26.071Z,2021-03-04T05:12:06.547Z,
1430,,GCF_900107645,GCF_900107645.1,1,GCA_900107645,GCA_900107645.1,37625,Desulfuromusa kysingii,representative genome,PRJNA224116,SAMN05660420,FNQN00000000.1,,latest,Scaffold,Major,2016-10-22,IMG-taxon 2599185196 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/645/GCF_900107645.1_IMG-taxon_2599185196_annotated_assembly,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa,Desulfuromusa kysingii,,{},{},5660420,2018-03-28T14:09:26.097Z,2021-03-04T05:13:08.868Z,
1485,,GCF_000012965,GCF_000012965.1,1,GCA_000012965,GCA_000012965.1,326298,Sulfurimonas denitrificans DSM 1251,representative genome,PRJNA224116,SAMN02598289,,,latest,Complete Genome,Major,2005-11-01,ASM1296v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,Sulfurimonas denitrificans,DSM 1251,{},{},2598289,2018-03-28T14:09:26.140Z,2021-03-04T05:14:42.247Z,
1587,,GCF_000265295,GCF_000265295.1,1,GCA_000265295,GCA_000265295.1,760154,Sulfurospirillum barnesii SES-3,representative genome,PRJNA224116,SAMN02232056,,,latest,Complete Genome,Major,2012-06-07,ASM26529v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/295/GCF_000265295.1_ASM26529v1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,Sulfurospirillum barnesii,SES-3,{},{},2232056,2018-03-28T14:09:26.212Z,2021-03-04T05:17:49.715Z,
2246,,GCF_000210915,GCF_000210915.2,2,GCA_000210915,GCA_000210915.2,862908,Halobacteriovorax marinus SJ,representative genome,PRJNA224116,SAMEA3138385,,,latest,Complete Genome,Major,2012-11-02,ASM21091v2,Wellcome Trust Sanger Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/915/GCF_000210915.2_ASM21091v2,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Halobacteriovorax marinus,SJ,{},{},3215831,2018-03-28T14:09:26.583Z,2021-03-04T05:37:20.815Z,
2538,,GCF_000426225,GCF_000426225.1,1,GCA_000426225,GCA_000426225.1,1304885,Desulforegula conservatrix Mb1Pa,representative genome,PRJNA224116,SAMN02440640,AUEY00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42622v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/225/GCF_000426225.1_ASM42622v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulforegula,Desulforegula conservatrix,Mb1Pa,{},{},2440640,2018-03-28T14:09:26.752Z,2021-03-04T05:45:58.530Z,
2840,,GCF_000425565,GCF_000425565.1,1,GCA_000425565,GCA_000425565.1,1123354,Tepidiphilus margaritifer DSM 15129,representative genome,PRJNA224116,SAMN02440862,AUDR00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42556v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/565/GCF_000425565.1_ASM42556v1,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Tepidiphilus,Tepidiphilus margaritifer,DSM 15129,{},{},2440862,2018-03-28T14:09:26.918Z,2021-03-04T05:54:30.586Z,
3008,,GCF_000429785,GCF_000429785.1,1,GCA_000429785,GCA_000429785.1,1121274,Chitinibacter tainanensis DSM 15459,representative genome,PRJNA224116,SAMN02441549,AUCN00000000.1,,latest,Scaffold,Major,2013-09-05,ASM42978v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/785/GCF_000429785.1_ASM42978v1,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chitinibacter,Chitinibacter tainanensis,DSM 15459,{},{},2441549,2018-03-28T14:09:27.068Z,2021-03-04T05:59:19.982Z,
3196,,GCF_000379445,GCF_000379445.1,1,GCA_000379445,GCA_000379445.1,1089439,Fangia hongkongensis FSC776 = DSM 21703,representative genome,PRJNA224116,SAMN02256423,ARAW00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37944v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/445/GCF_000379445.1_ASM37944v1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Fastidiosibacteraceae,Fangia,Fangia hongkongensis,FSC776 = DSM 21703,{},{},2256423,2018-03-28T14:09:27.184Z,2021-03-04T06:04:53.473Z,
3396,,GCF_000153765,GCF_000153765.1,1,GCA_000153765,GCA_000153765.1,314345,Mariprofundus ferrooxydans PV-1,representative genome,PRJNA224116,SAMN02436127,AATS00000000.1,,latest,Scaffold,Major,2006-10-23,ASM15376v1,The Gordon and Betty Moore Foundation Marine Microbiology Initiative,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/765/GCF_000153765.1_ASM15376v1,Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,PV-1,{},{},2436127,2018-03-28T14:09:27.317Z,2021-03-04T06:11:03.001Z,
3422,,GCF_900107235,GCF_900107235.1,1,GCA_900107235,GCA_900107235.1,321339,Citreimonas salinaria,representative genome,PRJNA224116,SAMN05444340,FNPF00000000.1,,latest,Scaffold,Major,2016-10-22,IMG-taxon 2693429906 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/107/235/GCF_900107235.1_IMG-taxon_2693429906_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreimonas,Citreimonas salinaria,,{},{},5444340,2018-03-28T14:09:27.351Z,2021-03-04T06:11:50.238Z,
3563,,GCF_900111095,GCF_900111095.1,1,GCA_900111095,GCA_900111095.1,355243,Amphritea atlantica,representative genome,PRJNA224116,SAMN03080615,FOGB00000000.1,,latest,Scaffold,Major,2016-10-31,IMG-taxon 2599185211 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/095/GCF_900111095.1_IMG-taxon_2599185211_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea atlantica,,{},{},3080615,2018-03-28T14:09:27.451Z,2021-03-04T06:16:09.810Z,
3877,,GCF_000429605,GCF_000429605.1,1,GCA_000429605,GCA_000429605.1,1121032,Azonexus hydrophilus DSM 23864,representative genome,PRJNA224116,SAMN02441189,AUCE00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42960v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/429/605/GCF_000429605.1_ASM42960v1,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus,Azonexus hydrophilus,DSM 23864,{},{},2441189,2018-03-28T14:09:27.682Z,2021-03-04T06:25:23.089Z,
4452,,GCF_002005365,GCF_002005365.1,1,GCA_002005365,GCA_002005365.1,643674,Paenalcaligenes hominis,representative genome,PRJNA224116,SAMN06236385,,,latest,Complete Genome,Major,2017-02-21,ASM200536v1,California Department of Public Health,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/365/GCF_002005365.1_ASM200536v1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paenalcaligenes,Paenalcaligenes hominis,,{},{},6236385,2018-03-28T14:09:28.069Z,2021-03-04T06:42:18.394Z,
5095,,GCF_900170035,GCF_900170035.1,1,GCA_900170035,GCA_900170035.1,1246637,Desulfamplus magnetovallimortis,representative genome,PRJNA224116,SAMEA100367668,FWEV00000000.1,PRJEB14757,latest,Scaffold,Major,2017-03-29,Desulfamplus magnetomortis BW-1,CNRS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/170/035/GCF_900170035.1_Desulfamplus_magnetomortis_BW-1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfamplus,Desulfamplus magnetovallimortis,,{},{},6449042,2018-03-28T14:09:28.568Z,2021-03-04T07:01:35.585Z,
5583,,GCF_001517585,GCF_001517585.1,1,GCA_001517585,GCA_001517585.1,1666912,Roseibaca calidilacus,representative genome,PRJNA224116,SAMN04386380,FBYC00000000.1,,latest,Contig,Major,2016-01-15,IMG-taxon 2603880215 annotated assembly,DOE - Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/517/585/GCF_001517585.1_IMG-taxon_2603880215_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibaca,Roseibaca calidilacus,,{},{},4386380,2018-03-28T14:09:28.969Z,2021-03-04T07:16:27.184Z,
