id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
382,,GCF_000018545,GCF_000018545.1,1,GCA_000018545,GCA_000018545.1,394,Sinorhizobium fredii NGR234,reference genome,PRJNA59081,SAMN02603283,,,latest,Complete Genome,Major,2009-04-22,ASM1854v1,Goettingen Genomics Laboratory,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/545/GCF_000018545.1_ASM1854v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium fredii,NGR234,{},{},2603283,2018-03-28T14:09:25.282Z,2021-03-04T04:42:17.958Z,
504,,GCF_000026005,GCF_000026005.1,1,GCA_000026005,GCA_000026005.1,254945,Ehrlichia ruminantium str. Welgevonden,representative genome,PRJNA224116,SAMEA1705918,,,latest,Complete Genome,Major,2005-01-05,ASM2600v1,"University of Pretoria, South Africa",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/005/GCF_000026005.1_ASM2600v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Ehrlichia,Ehrlichia ruminantium,str. Welgevonden,{},{},25434,2018-03-28T14:09:25.359Z,2021-03-04T04:45:49.915Z,
507,,GCF_000063545,GCF_000063545.1,1,GCA_000063545,GCA_000063545.1,357244,Orientia tsutsugamushi str. Boryong,representative genome,PRJNA224116,SAMEA3138266,,,latest,Complete Genome,Major,2007-05-15,ASM6354v1,Seoul National University College of Medicine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/545/GCF_000063545.1_ASM6354v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Orientia,Orientia tsutsugamushi,str. Boryong,{},{},3215712,2018-03-28T14:09:25.392Z,2021-03-04T04:45:56.036Z,
1094,,GCF_000739895,GCF_000739895.2,2,GCA_000739895,GCA_000739895.2,1219050,Sphingomonas paucimobilis NBRC 13935,representative genome,PRJNA224116,SAMD00018691,BBJS00000000.1,,latest,Contig,Major,2015-02-23,ASM73989v2,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/895/GCF_000739895.2_ASM73989v2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,NBRC 13935,{},{},3324526,2018-03-28T14:09:25.859Z,2021-03-04T05:03:32.263Z,
1147,,GCF_001746755,GCF_001746755.1,1,GCA_001746755,GCA_001746755.1,28181,Magnetovibrio blakemorei,representative genome,PRJNA224116,SAMN05467120,MCGG00000000.1,,latest,Contig,Major,2016-09-26,ASM174675v1,Southwestern Oklahoma State University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/746/755/GCF_001746755.1_ASM174675v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetovibrio,Magnetovibrio blakemorei,,{},{},5467120,2018-03-28T14:09:25.912Z,2021-03-04T05:05:09.129Z,
1522,,GCF_002208825,GCF_002208825.2,2,GCA_002208825,GCA_002208825.2,41276,Brevundimonas vesicularis,representative genome,PRJNA224116,SAMN06173302,,,latest,Complete Genome,Major,2018-03-02,ASM220882v2,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/825/GCF_002208825.2_ASM220882v2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas vesicularis,,{},{},6173302,2018-03-28T14:09:26.171Z,2021-03-04T05:15:45.830Z,
1676,,GCF_000383415,GCF_000383415.1,1,GCA_000383415,GCA_000383415.1,1267005,Hyphomicrobium zavarzinii ATCC 27496,representative genome,PRJNA224116,SAMN02440966,ARTG00000000.1,,latest,Scaffold,Major,2013-04-26,ASM38341v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/383/415/GCF_000383415.1_ASM38341v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,Hyphomicrobium zavarzinii,ATCC 27496,{},{},2440966,2018-03-28T14:09:26.276Z,2021-03-04T05:20:32.533Z,
1974,,GCF_900188425,GCF_900188425.1,1,GCA_900188425,GCA_900188425.1,74033,Antarctobacter heliothermus,representative genome,PRJNA224116,SAMN04488078,FZON00000000.1,,latest,Scaffold,Major,2017-07-16,IMG-taxon 2619619037 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/188/425/GCF_900188425.1_IMG-taxon_2619619037_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Antarctobacter,Antarctobacter heliothermus,,{},{},4488078,2018-03-28T14:09:26.437Z,2021-03-04T05:29:23.854Z,
2007,,GCF_000204015,GCF_000204015.1,1,GCA_000204015,GCA_000204015.1,715226,Asticcacaulis biprosthecum C19,representative genome,PRJNA224116,SAMN02469919,ADUH00000000.1,,latest,Scaffold,Major,2011-04-13,ASM20401v1,Indiana University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/015/GCF_000204015.1_ASM20401v1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis biprosthecium,C19,{},{},2469919,2018-03-28T14:09:26.470Z,2021-03-04T05:30:20.005Z,
2389,,GCF_001484065,GCF_001484065.1,1,GCA_001484065,GCA_001484065.1,121719,Pannonibacter phragmitetus,representative genome,PRJNA224116,SAMN04158710,,,latest,Complete Genome,Major,2016-01-04,ASM148406v1,School of biomedical sciences,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/484/065/GCF_001484065.1_ASM148406v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pannonibacter,Pannonibacter phragmitetus,,{},{},4158710,2018-03-28T14:09:26.677Z,2021-03-04T05:41:37.307Z,
