id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
342,,GCF_900176575,GCF_900176575.1,1,GCA_900176575,GCA_900176575.1,244,Planomicrobium okeanokoites,representative genome,PRJNA224116,SAMEA103966498,FWYH00000000.1,,latest,Contig,Major,2017-04-09,PRJEB20355,URMITE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/575/GCF_900176575.1_PRJEB20355,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium,Planomicrobium okeanokoites,,{},{},6702187,2018-03-28T14:09:25.248Z,2021-03-04T04:41:10.393Z,
523,,GCF_900129945,GCF_900129945.1,1,GCA_900129945,GCA_900129945.1,1121131,Butyrivibrio fibrisolvens DSM 3071,representative genome,PRJNA224116,SAMN02745229,FQXK00000000.1,,latest,Contig,Major,2016-12-03,IMG-taxon 2585428068 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/945/GCF_900129945.1_IMG-taxon_2585428068_annotated_assembly,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,DSM 3071,{},{},2745229,2018-03-28T14:09:25.393Z,2021-03-04T04:46:22.764Z,
536,,GCF_000162015,GCF_000162015.1,1,GCA_000162015,GCA_000162015.1,411483,Faecalibacterium prausnitzii A2-165,representative genome,PRJNA224116,SAMN00008827,ACOP00000000.2,,latest,Scaffold,Major,2009-07-22,ASM16201v1,Washington University Genome Sequencing Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/015/GCF_000162015.1_ASM16201v1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,A2-165,{},{},8827,2018-03-28T14:09:25.393Z,2021-03-04T04:46:44.245Z,
541,,GCF_000014725,GCF_000014725.1,1,GCA_000014725,GCA_000014725.1,335541,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,representative genome,PRJNA224116,SAMN02598286,,,latest,Complete Genome,Major,2006-09-14,ASM1472v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/725/GCF_000014725.1_ASM1472v1,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei,subsp. wolfei str. Goettingen G311,{},{},2598286,2018-03-28T14:09:25.393Z,2021-03-04T04:46:52.672Z,
555,,GCF_000025305,GCF_000025305.1,1,GCA_000025305,GCA_000025305.1,591001,Acidaminococcus fermentans DSM 20731,representative genome,PRJNA224116,SAMN02598507,,,latest,Complete Genome,Major,2010-01-15,ASM2530v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,DSM 20731,{},{},2598507,2018-03-28T14:09:25.394Z,2021-03-04T04:47:16.496Z,
556,,GCF_001304715,GCF_001304715.1,1,GCA_001304715,GCA_001304715.1,1458465,Megasphaera elsdenii 14-14,representative genome,PRJNA224116,SAMN02953477,,,latest,Complete Genome,Major,2015-10-01,ASM130471v1,National Animal Disease Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/304/715/GCF_001304715.1_ASM130471v1,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii,14-14,{},{},2953477,2018-03-28T14:09:25.394Z,2021-03-04T04:47:18.558Z,
584,,GCF_000284095,GCF_000284095.1,1,GCA_000284095,GCA_000284095.1,927704,Selenomonas ruminantium subsp. lactilytica TAM6421,representative genome,PRJNA224116,SAMD00061115,,,latest,Complete Genome,Major,2012-03-28,ASM28409v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/095/GCF_000284095.1_ASM28409v1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas ruminantium,subsp. lactilytica TAM6421,{},{},5831918,2018-03-28T14:09:25.429Z,2021-03-04T04:48:08.210Z,
668,,GCF_000196855,GCF_000196855.1,1,GCA_000196855,GCA_000196855.1,762550,Leuconostoc gelidum subsp. gasicomitatum LMG 18811,representative genome,PRJNA224116,SAMEA2272393,,,latest,Complete Genome,Major,2010-06-30,ASM19685v1,"The Department of Food Hygiene and Environmental Health, University of Helsinki, P.O. Box 66 00014 University of Helsinki",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/855/GCF_000196855.1_ASM19685v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc gelidum,subsp. gasicomitatum LMG 18811,{},{},2484049,2018-03-28T14:09:25.512Z,2021-03-04T04:50:39.429Z,
669,,GCF_000014445,GCF_000014445.1,1,GCA_000014445,GCA_000014445.1,203120,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,representative genome,PRJNA224116,SAMN02598482,,,latest,Complete Genome,Major,2006-10-13,ASM1444v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/445/GCF_000014445.1_ASM1444v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc mesenteroides,subsp. mesenteroides ATCC 8293,{},{},2598482,2018-03-28T14:09:25.512Z,2021-03-04T04:50:40.562Z,
670,,GCF_001698145,GCF_001698145.1,1,GCA_001698145,GCA_001698145.1,1246,Leuconostoc lactis,representative genome,PRJNA224116,SAMN05300424,,,latest,Complete Genome,Major,2016-08-02,ASM169814v1,world institute of kimchi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/145/GCF_001698145.1_ASM169814v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc lactis,,{},{},5300424,2018-03-28T14:09:25.512Z,2021-03-04T04:50:41.696Z,
671,,GCF_000014385,GCF_000014385.1,1,GCA_000014385,GCA_000014385.1,203123,Oenococcus oeni PSU-1,representative genome,PRJNA224116,SAMN02598484,,,latest,Complete Genome,Major,2006-10-13,ASM1438v1,"US DOE Joint Genome Institute (JGI), The Lactic Acid Bacteria Genome Consortium and Fidelity Systems Inc.",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/385/GCF_000014385.1_ASM1438v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,Oenococcus oeni,PSU-1,{},{},2598484,2018-03-28T14:09:25.512Z,2021-03-04T04:50:43.515Z,
672,,GCF_000160575,GCF_000160575.1,1,GCA_000160575,GCA_000160575.1,585506,Weissella paramesenteroides ATCC 33313,representative genome,PRJNA224116,SAMN00139194,ACKU00000000.1,,latest,Scaffold,Major,2009-07-17,ASM16057v1,Baylor College of Medicine,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/575/GCF_000160575.1_ASM16057v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella paramesenteroides,ATCC 33313,{},{},12519813,2018-03-28T14:09:25.512Z,2021-03-04T04:50:45.745Z,
673,,GCF_000165675,GCF_000165675.1,1,GCA_000165675,GCA_000165675.2,907931,Leuconostoc fallax KCTC 3537,representative genome,PRJNA224116,SAMN02470184,AEIZ00000000.1,,latest,Contig,Major,2010-10-26,ASM16567v1,Korea Research Institute of Bioscience and Biotechnology (KRIBB),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/675/GCF_000165675.1_ASM16567v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc fallax,KCTC 3537,{},{},2470184,2018-03-28T14:09:25.512Z,2021-03-04T04:50:46.911Z,
674,,GCF_000300135,GCF_000300135.1,1,GCA_000300135,GCA_000300135.1,1229758,Leuconostoc carnosum JB16,representative genome,PRJNA224116,SAMN02603179,,,latest,Complete Genome,Major,2012-09-28,ASM30013v1,"Department of Life Science, Chung-Ang University, Republic of Korea",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/135/GCF_000300135.1_ASM30013v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,Leuconostoc carnosum,JB16,{},{},2603179,2018-03-28T14:09:25.512Z,2021-03-04T04:50:49.002Z,
675,,GCF_001767275,GCF_001767275.1,1,GCA_001767275,GCA_001767275.1,1254,Pediococcus acidilactici,representative genome,PRJNA224116,SAMN04515708,,,latest,Complete Genome,Major,2016-10-18,ASM176727v1,Beijing Academy of Agriculture and Forestry Sciences,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/767/275/GCF_001767275.1_ASM176727v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus acidilactici,,{},{},4515708,2018-03-28T14:09:25.512Z,2021-03-04T04:50:50.144Z,
