WorkerId,accession,assembly_level,assembly_name,bioproject,biosample,biosample_id,class,createdAt,family,ftp_path,genbank_accession,genbank_version,genus,id,index,isolate,meta,name,order,phylum,refseq_category,release_date,release_type,species,stats,strain,submitter,superkingdom,taxonomy_id,updatedAt,version,version_number,version_status,wgs_master,worker_id
,GCF_002208825,Complete Genome,ASM220882v2,PRJNA224116,SAMN06173302,6173302,Alphaproteobacteria,2018-03-28T14:09:26.171Z,Caulobacteraceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/825/GCF_002208825.2_ASM220882v2,GCA_002208825,GCA_002208825.2,Brevundimonas,1522,1163.0,,{},Brevundimonas vesicularis,Caulobacterales,Proteobacteria,representative genome,2018-03-02,Major,Brevundimonas vesicularis,{},,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,Bacteria,41276,2021-03-04T05:15:45.830Z,GCF_002208825.2,2,latest,,
,GCF_000469665,Contig,ASM46966v2,PRJNA224116,SAMN02472141,2472141,Alphaproteobacteria,2018-03-28T14:09:26.276Z,Holosporaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/665/GCF_000469665.2_ASM46966v2,GCA_000469665,GCA_000469665.2,Holospora,1688,1327.0,,{},Holospora obtusa F1,Holosporales,Proteobacteria,representative genome,2014-01-27,Major,Holospora obtusa,{},F1,Yamaguchi University,Bacteria,1399147,2021-03-04T05:20:51.326Z,GCF_000469665.2,2,latest,AWTR00000000.2,
,GCF_000374005,Scaffold,ASM37400v1,PRJNA224116,SAMN02441694,2441694,Alphaproteobacteria,2018-03-28T14:09:27.791Z,Kiloniellaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/005/GCF_000374005.1_ASM37400v1,GCA_000374005,GCA_000374005.1,Kiloniella,4017,3614.0,,{},Kiloniella laminariae DSM 19542,Kiloniellales,Proteobacteria,representative genome,2013-04-23,Major,Kiloniella laminariae,{},DSM 19542,DOE Joint Genome Institute,Bacteria,1122135,2021-03-04T06:29:32.821Z,GCF_000374005.1,1,latest,AREZ00000000.1,
,GCF_000375545,Contig,ASM37554v1,PRJNA224116,SAMN02441395,2441395,Alphaproteobacteria,2018-03-28T14:09:27.249Z,Kordiimonadaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/545/GCF_000375545.1_ASM37554v1,GCA_000375545,GCA_000375545.1,Kordiimonas,3277,2885.0,,{},Kordiimonas gwangyangensis DSM 19435 = JCM 12864,Kordiimonadales,Proteobacteria,representative genome,2013-04-20,Major,Kordiimonas gwangyangensis,{},DSM 19435 = JCM 12864,DOE Joint Genome Institute,Bacteria,1122137,2021-03-04T06:07:23.818Z,GCF_000375545.1,1,latest,AQXF00000000.1,
,GCF_002109495,Contig,ASM210949v1,PRJNA224116,SAMN04574817,4574817,Alphaproteobacteria,2018-03-28T14:09:28.837Z,Magnetococcaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/109/495/GCF_002109495.1_ASM210949v1,GCA_002109495,GCA_002109495.1,Magnetofaba,5377,4954.0,,{},Magnetofaba australis IT-1,Magnetococcales,Proteobacteria,representative genome,2017-04-25,Major,Magnetofaba australis,{},IT-1,LNCC,Bacteria,1434232,2021-03-04T07:09:57.771Z,GCF_002109495.1,1,latest,LVJN00000000.1,
,GCF_900199215,Contig,IMG-taxon 2737472027 annotated assembly,PRJNA224116,SAMN06297382,6297382,Alphaproteobacteria,2018-03-28T14:09:28.870Z,Parvularculaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/199/215/GCF_900199215.1_IMG-taxon_2737472027_annotated_assembly,GCA_900199215,GCA_900199215.1,Amphiplicatus,5444,5021.0,,{},Amphiplicatus metriothermophilus,Parvularculales,Proteobacteria,representative genome,2017-07-16,Major,Amphiplicatus metriothermophilus,{},,DOE - JOINT GENOME INSTITUTE,Bacteria,1519374,2021-03-04T07:12:04.342Z,GCF_900199215.1,1,latest,FZQA00000000.1,
,GCF_000007565,Complete Genome,ASM756v2,PRJNA57843,SAMN02603999,2603999,Gammaproteobacteria,2018-03-28T14:09:25.281Z,Pseudomonadaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,GCA_000007565,GCA_000007565.2,Pseudomonas,365,,,{},Pseudomonas putida KT2440,Pseudomonadales,Proteobacteria,reference genome,2016-02-26,Major,Pseudomonas putida,{},KT2440,TIGR,Bacteria,160488,2021-03-04T04:41:46.314Z,GCF_000007565.2,2,latest,,
,GCF_900168195,Contig,IMG-taxon 2595698224 annotated assembly,PRJNA224116,SAMN05660750,5660750,Alphaproteobacteria,2018-03-28T14:09:26.302Z,Bradyrhizobiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/168/195/GCF_900168195.1_IMG-taxon_2595698224_annotated_assembly,GCA_900168195,GCA_900168195.1,Bosea,1730,1368.0,,{},Bosea thiooxidans,Rhizobiales,Proteobacteria,representative genome,2017-03-08,Major,Bosea thiooxidans,{},,DOE - JOINT GENOME INSTITUTE,Bacteria,53254,2021-03-04T05:22:06.475Z,GCF_900168195.1,1,latest,FUYX00000000.1,
,GCF_000385335,Contig,ASM38533v1,PRJNA224116,SAMN02256400,2256400,Alphaproteobacteria,2018-03-28T14:09:28.264Z,Beijerinckiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/335/GCF_000385335.1_ASM38533v1,GCA_000385335,GCA_000385335.1,Methyloferula,4660,4245.0,,{},Methyloferula stellata AR4,Rhizobiales,Proteobacteria,representative genome,2013-04-26,Major,Methyloferula stellata,{},AR4,DOE Joint Genome Institute,Bacteria,876269,2021-03-04T06:48:31.019Z,GCF_000385335.1,1,latest,ARWA00000000.1,
,GCF_001687365,Contig,ASM168736v1,PRJNA224116,SAMN03877108,3877108,Alphaproteobacteria,2018-03-28T14:09:28.934Z,Rhizobiaceae,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/365/GCF_001687365.1_ASM168736v1,GCA_001687365,GCA_001687365.1,Pararhizobium,5531,5107.0,,{},Pararhizobium polonicum,Rhizobiales,Proteobacteria,representative genome,2016-07-19,Major,Pararhizobium polonicum,{},,Research Institute of Horticulture,Bacteria,1612624,2021-03-04T07:14:36.621Z,GCF_001687365.1,1,latest,LGLV00000000.1,
