,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,AMUC_RS09235,GCF_000020225.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Trans_reg_C,GCF_000020225.1-AMUC_RS09235,AMUC,-1.692596,1.8725687
1,AMUC_RS05955,GCF_000020225.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Trans_reg_C,GCF_000020225.1-AMUC_RS05955,AMUC,-4.0518064,1.306612
2,AMUC_RS04640,GCF_000020225.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,,GCF_000020225.1-AMUC_RS04640,AMUC,-40.039593,22.29937
3,AMUC_RS04460,GCF_000020225.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Trans_reg_C,GCF_000020225.1-AMUC_RS04460,AMUC,18.4262,17.891512
4,AMUC_RS01770,GCF_000020225.1,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,HTH_8,GCF_000020225.1-AMUC_RS01770,AMUC,-32.711,-2.8730006
5,OTER_RS22865,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS22865,OTER,50.05158,-9.559334
6,OTER_RS22675,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS22675,OTER,16.017244,-43.635895
7,OTER_RS24700,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS24700,OTER,22.918108,33.41215
8,OTER_RS24695,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24695,OTER,-25.251307,-35.881042
9,OTER_RS22095,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Sigma54_activat,GCF_000019965.1-OTER_RS22095,OTER,14.154252,33.869705
10,OTER_RS20755,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS20755,OTER,-13.224564,-21.81545
11,OTER_RS19485,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS19485,OTER,37.366802,-15.93695
12,OTER_RS19350,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HDOD,GCF_000019965.1-OTER_RS19350,OTER,-39.785976,-15.516556
13,OTER_RS21455,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS21455,OTER,57.689415,-2.8761249
14,OTER_RS21435,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS21435,OTER,45.407738,9.317947
15,OTER_RS19765,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS19765,OTER,-57.68174,-7.488084
16,OTER_RS17065,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS17065,OTER,55.305237,-8.512507
17,OTER_RS16990,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16990,OTER,46.488445,16.040638
18,OTER_RS16680,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS16680,OTER,-25.062769,-7.1819215
19,OTER_RS16390,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16390,OTER,59.446354,0.3331894
20,OTER_RS16350,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16350,OTER,55.315002,-8.520829
21,OTER_RS16120,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16120,OTER,43.76772,12.36947
22,OTER_RS15020,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS15020,OTER,46.66693,-7.845138
23,OTER_RS14885,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14885,OTER,-16.264257,-31.375467
24,OTER_RS14880,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,CheB_methylest,GCF_000019965.1-OTER_RS14880,OTER,34.21024,-28.74981
25,OTER_RS14820,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS14820,OTER,37.80629,-4.248742
26,OTER_RS14465,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS14465,OTER,-9.663884,5.8561277
27,OTER_RS14375,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14375,OTER,-2.4265525,-21.620895
28,OTER_RS14360,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14360,OTER,12.85125,-26.821552
29,OTER_RS24225,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24225,OTER,-1.4359494,-22.367271
30,OTER_RS12950,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GGDEF,GCF_000019965.1-OTER_RS12950,OTER,14.152102,15.162726
31,OTER_RS12910,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS12910,OTER,-5.1335006,6.546907
32,OTER_RS24285,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24285,OTER,16.274908,3.0651264
33,OTER_RS12645,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS12645,OTER,55.057182,-8.2286825
34,OTER_RS11795,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS11795,OTER,-56.84977,-5.0000987
35,OTER_RS11790,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS11790,OTER,-57.127213,-4.9796767
36,OTER_RS25200,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS25200,OTER,-33.05929,13.854256
37,OTER_RS11550,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS11550,OTER,32.981888,17.124956
38,OTER_RS11335,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS11335,OTER,45.319523,9.100336
39,OTER_RS24045,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24045,OTER,14.534252,6.404604
40,OTER_RS09650,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS09650,OTER,-42.85374,-2.551116
41,OTER_RS08545,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS08545,OTER,44.74069,-7.2775807
42,OTER_RS08325,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS08325,OTER,-36.118332,-16.084515
43,OTER_RS08280,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS08280,OTER,17.037477,8.696229
44,OTER_RS08275,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS08275,OTER,17.73392,25.946325
45,OTER_RS08180,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS08180,OTER,15.256711,24.082176
46,OTER_RS10635,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS10635,OTER,-32.59615,-3.5250323
47,OTER_RS07860,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS07860,OTER,58.205902,1.6666156
