id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
505,,GCF_000007025,GCF_000007025.1,1,GCA_000007025,GCA_000007025.1,272944,Rickettsia conorii str. Malish 7,representative genome,PRJNA224116,SAMN02603141,,,latest,Complete Genome,Major,2002-11-25,ASM702v1,CNRS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia conorii,str. Malish 7,{},{},2603141,2018-03-28T14:09:25.359Z,2021-03-04T04:45:51.939Z,
506,,GCF_000195735,GCF_000195735.1,1,GCA_000195735,GCA_000195735.1,272947,Rickettsia prowazekii str. Madrid E,reference genome,PRJNA61565,SAMEA3138318,,,latest,Complete Genome,Major,2003-05-06,ASM19573v1,Uppsala Univ.,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/735/GCF_000195735.1_ASM19573v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia prowazekii,str. Madrid E,{},{},3215764,2018-03-28T14:09:25.359Z,2021-03-04T04:45:53.781Z,
508,,GCF_000008045,GCF_000008045.1,1,GCA_000008045,GCA_000008045.1,257363,Rickettsia typhi str. Wilmington,representative genome,PRJNA224116,SAMN02603327,,,latest,Complete Genome,Major,2004-08-19,ASM804v1,"Human Genome Sequencing Center, Baylor College of Medicine",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia typhi,str. Wilmington,{},{},2603327,2018-03-28T14:09:25.392Z,2021-03-04T04:45:58.071Z,
509,,GCF_000018205,GCF_000018205.1,1,GCA_000018205,GCA_000018205.1,293614,Rickettsia akari str. Hartford,representative genome,PRJNA224116,SAMN02604084,,,latest,Complete Genome,Major,2007-10-02,ASM1820v1,Univ. Iowa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia akari,str. Hartford,{},{},2604084,2018-03-28T14:09:25.392Z,2021-03-04T04:45:59.455Z,
510,,GCF_000284155,GCF_000284155.1,1,GCA_000284155,GCA_000284155.1,1105110,Rickettsia australis str. Cutlack,representative genome,PRJNA224116,SAMN02603558,,,latest,Complete Genome,Major,2012-03-01,ASM28415v1,Los Alamos National Laboratory,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/155/GCF_000284155.1_ASM28415v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia australis,str. Cutlack,{},{},2603558,2018-03-28T14:09:25.392Z,2021-03-04T04:46:01.085Z,
511,,GCF_000014345,GCF_000014345.1,1,GCA_000014345,GCA_000014345.1,293613,Rickettsia canadensis str. McKiel,representative genome,PRJNA224116,SAMN02604083,,,latest,Complete Genome,Major,2007-10-01,ASM1434v1,Univ. Iowa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/345/GCF_000014345.1_ASM1434v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia canadensis,str. McKiel,{},{},2604083,2018-03-28T14:09:25.392Z,2021-03-04T04:46:02.645Z,
1326,,GCF_001273795,GCF_001273795.1,1,GCA_001273795,GCA_001273795.1,33989,Rickettsia amblyommatis,representative genome,PRJNA224116,SAMN03997007,,,latest,Complete Genome,Major,2015-08-25,ASM127379v1,University of Minnesota,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/273/795/GCF_001273795.1_ASM127379v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia amblyommatis,,{},{},3997007,2018-03-28T14:09:26.039Z,2021-03-04T05:10:11.063Z,
1327,,GCF_000012385,GCF_000012385.1,1,GCA_000012385,GCA_000012385.1,336407,Rickettsia bellii RML369-C,representative genome,PRJNA224116,SAMN02603144,,,latest,Complete Genome,Major,2006-04-05,ASM1238v1,CNRS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/385/GCF_000012385.1_ASM1238v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia bellii,RML369-C,{},{},2603144,2018-03-28T14:09:26.039Z,2021-03-04T05:10:12.295Z,
1328,,GCF_000284075,GCF_000284075.1,1,GCA_000284075,GCA_000284075.1,1105113,Rickettsia rhipicephali str. 3-7-female6-CWPP,representative genome,PRJNA224116,SAMN02603560,,,latest,Complete Genome,Major,2012-03-01,ASM28407v1,Los Alamos National Laboratory,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/075/GCF_000284075.1_ASM28407v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia rhipicephali,str. 3-7-female6-CWPP,{},{},2603560,2018-03-28T14:09:26.039Z,2021-03-04T05:10:13.420Z,
1377,,GCF_000255355,GCF_000255355.1,1,GCA_000255355,GCA_000255355.1,1144888,Rickettsia helvetica C9P9,representative genome,PRJNA224116,SAMN02471333,AICO00000000.1,,latest,Chromosome,Major,2012-04-05,ASM25535v1,"CNRS UMR 6236, Faculté de médecine, Université de la Méditerranée",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/355/GCF_000255355.1_ASM25535v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia helvetica,C9P9,{},{},2471333,2018-03-28T14:09:26.071Z,2021-03-04T05:11:39.571Z,
1378,,GCF_000283595,GCF_000283595.1,1,GCA_000283595,GCA_000283595.1,652620,Rickettsia japonica YH,representative genome,PRJNA224116,SAMD00060967,,,latest,Complete Genome,Major,2011-09-30,ASM28359v1,Yamaguchi University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/595/GCF_000283595.1_ASM28359v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia japonica,YH,{},{},5831770,2018-03-28T14:09:26.071Z,2021-03-04T05:11:43.120Z,
1540,,GCF_000012145,GCF_000012145.1,1,GCA_000012145,GCA_000012145.1,315456,Rickettsia felis URRWXCal2,representative genome,PRJNA224116,SAMN02603143,,,latest,Complete Genome,Major,2005-06-07,ASM1214v1,CNRS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/145/GCF_000012145.1_ASM1214v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia felis,URRWXCal2,{},{},2603143,2018-03-28T14:09:26.171Z,2021-03-04T05:16:27.919Z,
3477,,GCF_000751075,GCF_000751075.1,1,GCA_000751075,GCA_000751075.1,334545,Rickettsia tamurae,representative genome,PRJNA224116,SAMEA2658108,CCMG00000000.1,,latest,Contig,Major,2014-08-06,Rickettsia tamurae AT-1,URMITE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/751/075/GCF_000751075.1_Rickettsia_tamurae_AT-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia tamurae,,{},{},2928160,2018-03-28T14:09:27.383Z,2021-03-04T06:13:26.268Z,
3634,,GCF_001975185,GCF_001975185.1,1,GCA_001975185,GCA_001975185.1,369822,Rickettsia raoultii,representative genome,PRJNA224116,SAMN06249243,,,latest,Chromosome,Major,2017-01-30,ASM197518v1,State Key Laboratory of Pathogen and Biosecurity,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/185/GCF_001975185.1_ASM197518v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia raoultii,,{},{},6249243,2018-03-28T14:09:27.483Z,2021-03-04T06:18:21.033Z,
4821,,GCF_000828125,GCF_000828125.2,2,GCA_000828125,GCA_000828125.2,1068590,Rickettsia asembonensis,representative genome,PRJNA224116,SAMN03272870,JWSW00000000.1,,latest,Contig,Major,2016-03-25,ASM82812v2,Naval Medical Research Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/125/GCF_000828125.2_ASM82812v2,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia asembonensis,,{},{},3272870,2018-03-28T14:09:28.384Z,2021-03-04T06:53:16.634Z,
5347,,GCF_000696365,GCF_000696365.1,1,GCA_000696365,GCA_000696365.1,1462938,Rickettsia buchneri,representative genome,PRJNA224116,SAMN02643344,JFKF00000000.1,,latest,Contig,Major,2014-05-29,REISMNv1,University of Minnesota,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/365/GCF_000696365.1_REISMNv1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia buchneri,,{},{},2643344,2018-03-28T14:09:28.775Z,2021-03-04T07:09:03.498Z,
