id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
289,,GCF_001442515,GCF_001442515.1,1,GCA_001442515,GCA_001442515.1,69,Lysobacter enzymogenes,representative genome,PRJNA224116,SAMN04158597,,,latest,Chromosome,Major,2015-11-12,ASM144251v1,"Rutgers, The State University of New Jersey",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/515/GCF_001442515.1_ASM144251v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,{},{},4158597,2018-03-28T14:09:25.187Z,2021-03-04T04:39:39.840Z,
412,,GCF_001679005,GCF_001679005.1,1,GCA_001679005,GCA_001679005.1,478,Moraxella nonliquefaciens,representative genome,PRJNA224116,SAMN04994741,LXTW00000000.1,,latest,Scaffold,Major,2016-07-05,ASM167900v1,TAILORED-Treatment project,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/005/GCF_001679005.1_ASM167900v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella nonliquefaciens,,{},{},4994741,2018-03-28T14:09:25.320Z,2021-03-04T04:43:07.817Z,
496,,GCF_000209675,GCF_000209675.1,1,GCA_000209675,GCA_000209675.1,1005058,Gallibacterium anatis UMN179,representative genome,PRJNA224116,SAMN02604222,,,latest,Complete Genome,Major,2011-04-26,ASM20967v1,University of Minnesota,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/675/GCF_000209675.1_ASM20967v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,Gallibacterium anatis,UMN179,{},{},2604222,2018-03-28T14:09:25.358Z,2021-03-04T04:45:36.465Z,
503,,GCF_000007765,GCF_000007765.2,2,GCA_000007765,GCA_000007765.2,227377,Coxiella burnetii RSA 493,reference genome,PRJNA57631,SAMN02603970,,,latest,Complete Genome,Major,2016-11-10,ASM776v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella burnetii,RSA 493,{},{},2603970,2018-03-28T14:09:25.359Z,2021-03-04T04:45:47.791Z,
613,,GCF_000260135,GCF_000260135.1,1,GCA_000260135,GCA_000260135.1,870187,Thiothrix nivea DSM 5205,representative genome,PRJNA224116,SAMN02256515,AJUL00000000.1,,latest,Scaffold,Major,2012-05-04,ASM26013v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/135/GCF_000260135.1_ASM26013v1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,Thiothrix nivea,DSM 5205,{},{},2256515,2018-03-28T14:09:25.466Z,2021-03-04T04:49:01.916Z,
1082,,GCF_001678785,GCF_001678785.1,1,GCA_001678785,GCA_001678785.1,2746,Halomonas elongata,representative genome,PRJNA224116,SAMN05162584,MAJD00000000.1,,latest,Contig,Major,2016-07-03,ASM167878v1,"Indian Agricultural Research Institute, New Delhi",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/785/GCF_001678785.1_ASM167878v1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas elongata,,{},{},5162584,2018-03-28T14:09:25.859Z,2021-03-04T05:03:08.626Z,
1177,,GCF_000711315,GCF_000711315.1,1,GCA_000711315,GCA_000711315.1,1123513,Hydrogenovibrio marinus DSM 11271,representative genome,PRJNA224116,SAMN02746014,JOML00000000.1,,latest,Contig,Major,2014-06-24,ASM71131v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/711/315/GCF_000711315.1_ASM71131v1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio marinus,DSM 11271,{},{},2746014,2018-03-28T14:09:25.949Z,2021-03-04T05:05:59.437Z,
1704,,GCF_000565345,GCF_000565345.1,1,GCA_000565345,GCA_000565345.1,1269942,Salinivibrio costicola subsp. costicola ATCC 33508 = LMG 11651,representative genome,PRJNA224116,SAMN02597457,AQOF00000000.1,,latest,Contig,Major,2014-01-07,costicolaLMG11651,Universidade Federal do Rio de Janeiro,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/565/345/GCF_000565345.1_costicolaLMG11651,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,Salinivibrio costicola,subsp. costicola ATCC 33508 = LMG 11651,{},{},2597457,2018-03-28T14:09:26.276Z,2021-03-04T05:21:17.814Z,
1836,,GCF_000009365,GCF_000009365.1,1,GCA_000009365,GCA_000009365.1,393595,Alcanivorax borkumensis SK2,representative genome,PRJNA224116,SAMEA3138202,,,latest,Complete Genome,Major,2006-07-24,ASM936v1,German Research Centre for Biotechnology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/365/GCF_000009365.1_ASM936v1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,SK2,{},{},3215648,2018-03-28T14:09:26.354Z,2021-03-04T05:25:20.158Z,
1865,,GCF_000757785,GCF_000757785.1,1,GCA_000757785,GCA_000757785.1,61647,Pluralibacter gergoviae,representative genome,PRJNA224116,SAMN03031196,,,latest,Complete Genome,Major,2014-09-25,ASM75778v1,University of Malaya,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/785/GCF_000757785.1_ASM75778v1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter,Pluralibacter gergoviae,,{},{},3031196,2018-03-28T14:09:26.386Z,2021-03-04T05:26:07.087Z,
