id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
1094,,GCF_000739895,GCF_000739895.2,2,GCA_000739895,GCA_000739895.2,1219050,Sphingomonas paucimobilis NBRC 13935,representative genome,PRJNA224116,SAMD00018691,BBJS00000000.1,,latest,Contig,Major,2015-02-23,ASM73989v2,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/895/GCF_000739895.2_ASM73989v2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,NBRC 13935,{},{},3324526,2018-03-28T14:09:25.859Z,2021-03-04T05:03:32.263Z,
1158,,GCF_001592345,GCF_001592345.1,1,GCA_001592345,GCA_001592345.1,1219038,Sphingomonas adhaesiva NBRC 15099,representative genome,PRJNA224116,SAMD00046922,BCWT00000000.1,,latest,Contig,Major,2016-03-04,ASM159234v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/592/345/GCF_001592345.1_ASM159234v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas adhaesiva,NBRC 15099,{},{},4491490,2018-03-28T14:09:25.949Z,2021-03-04T05:05:26.019Z,
1515,,GCF_001598415,GCF_001598415.1,1,GCA_001598415,GCA_001598415.1,1219048,Sphingomonas mali NBRC 15500,representative genome,PRJNA224116,SAMD00046754,BCYX00000000.1,,latest,Contig,Major,2016-03-11,ASM159841v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/415/GCF_001598415.1_ASM159841v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas mali,NBRC 15500,{},{},4481147,2018-03-28T14:09:26.171Z,2021-03-04T05:15:34.017Z,
1516,,GCF_001598455,GCF_001598455.1,1,GCA_001598455,GCA_001598455.1,1219052,Sphingomonas pruni NBRC 15498,representative genome,PRJNA224116,SAMD00046752,BCYZ00000000.1,,latest,Contig,Major,2016-03-11,ASM159845v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/455/GCF_001598455.1_ASM159845v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas pruni,NBRC 15498,{},{},4481145,2018-03-28T14:09:26.171Z,2021-03-04T05:15:36.049Z,
1837,,GCF_000241465,GCF_000241465.1,1,GCA_000241465,GCA_000241465.1,1112212,Sphingomonas echinoides ATCC 14820,representative genome,PRJNA224116,SAMN02470172,AHIR00000000.1,,latest,Scaffold,Major,2012-01-06,ASM24146v1,Korea Polar Research Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/241/465/GCF_000241465.1_ASM24146v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas echinoides,ATCC 14820,{},{},2470172,2018-03-28T14:09:26.354Z,2021-03-04T05:25:21.149Z,
2220,,GCF_001922385,GCF_001922385.1,1,GCA_001922385,GCA_001922385.1,93064,Sphingomonas koreensis,representative genome,PRJNA224116,SAMN06040428,,,latest,Complete Genome,Major,2016-12-27,ASM192238v1,NHGRI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/385/GCF_001922385.1_ASM192238v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas koreensis,,{},{},6040428,2018-03-28T14:09:26.582Z,2021-03-04T05:36:34.882Z,
2255,,GCF_001598435,GCF_001598435.1,1,GCA_001598435,GCA_001598435.1,1219051,Sphingomonas pituitosa NBRC 102491,representative genome,PRJNA224116,SAMD00046727,BCYY00000000.1,,latest,Contig,Major,2016-03-11,ASM159843v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/435/GCF_001598435.1_ASM159843v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas pituitosa,NBRC 102491,{},{},4481120,2018-03-28T14:09:26.583Z,2021-03-04T05:37:37.880Z,
2536,,GCF_001761345,GCF_001761345.1,1,GCA_001761345,GCA_001761345.1,621456,Sphingomonas melonis TY,representative genome,PRJNA224116,SAMN05860869,,,latest,Complete Genome,Major,2016-10-12,ASM176134v1,Zhejiang Sci-Tech University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/345/GCF_001761345.1_ASM176134v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas melonis,TY,{},{},5860869,2018-03-28T14:09:26.752Z,2021-03-04T05:45:54.824Z,
2611,,GCF_000016765,GCF_000016765.1,1,GCA_000016765,GCA_000016765.1,392499,Sphingomonas wittichii RW1,representative genome,PRJNA224116,SAMN02598383,,,latest,Complete Genome,Major,2007-05-31,ASM1676v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/765/GCF_000016765.1_ASM1676v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas wittichii,RW1,{},{},2598383,2018-03-28T14:09:26.804Z,2021-03-04T05:47:57.192Z,
3110,,GCF_000419605,GCF_000419605.1,1,GCA_000419605,GCA_000419605.1,1090318,Sphingomonas phyllosphaerae 5.2,representative genome,PRJNA224116,SAMN02441592,ATTI00000000.1,,latest,Contig,Major,2013-07-09,ASM41960v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/419/605/GCF_000419605.1_ASM41960v1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas phyllosphaerae,5.2,{},{},2441592,2018-03-28T14:09:27.149Z,2021-03-04T06:02:25.266Z,
