,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,BUA29_RS09595,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,LytTR,GCF_900129205.1-BUA29_RS09595,BUA29,0.21358755,-23.535683
1,BUA29_RS02380,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,Trans_reg_C,GCF_900129205.1-BUA29_RS02380,BUA29,-17.843576,4.808058
2,BUA29_RS02245,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,Trans_reg_C,GCF_900129205.1-BUA29_RS02245,BUA29,-17.413923,10.069801
3,BUA29_RS00540,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,GerE,GCF_900129205.1-BUA29_RS00540,BUA29,-18.478228,-21.565067
4,BUA29_RS00410,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,,GCF_900129205.1-BUA29_RS00410,BUA29,10.17316,-8.512705
5,BUA29_RS08075,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,Trans_reg_C,GCF_900129205.1-BUA29_RS08075,BUA29,-4.87553,0.051391665
6,BUA29_RS07760,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,HD,GCF_900129205.1-BUA29_RS07760,BUA29,-1.6121172,-17.508282
7,BUA29_RS07530,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,EAL,GCF_900129205.1-BUA29_RS07530,BUA29,32.10543,-14.87633
8,BUA29_RS02990,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,HTH_8,GCF_900129205.1-BUA29_RS02990,BUA29,19.392542,4.9089913
9,BUA29_RS02800,GCF_900129205.1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas hydrothermalis,,GCF_900129205.1-BUA29_RS02800,BUA29,2.0553584,19.389168
