id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
273,,GCF_000218545,GCF_000218545.1,1,GCA_000218545,GCA_000218545.1,593907,Cellulomonas gilvus ATCC 13127,representative genome,PRJNA224116,SAMN02232005,,,latest,Complete Genome,Major,2011-06-15,ASM21854v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/545/GCF_000218545.1_ASM21854v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,Cellulomonas gilvus,ATCC 13127,{},{},2232005,2018-03-28T14:09:25.187Z,2021-03-04T04:39:14.919Z,
686,,GCF_000023205,GCF_000023205.1,1,GCA_000023205,GCA_000023205.1,465515,Micrococcus luteus NCTC 2665,representative genome,PRJNA224116,SAMN00000281,,,latest,Complete Genome,Major,2009-06-12,ASM2320v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/205/GCF_000023205.1_ASM2320v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,NCTC 2665,{},{},281,2018-03-28T14:09:25.513Z,2021-03-04T04:51:11.271Z,
687,,GCF_001570885,GCF_001570885.1,1,GCA_001570885,GCA_001570885.1,1349773,Micrococcus lylae NBRC 15355,representative genome,PRJNA224116,SAMD00046485,BCSN00000000.1,,latest,Contig,Major,2016-02-10,ASM157088v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/570/885/GCF_001570885.1_ASM157088v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus lylae,NBRC 15355,{},{},4447851,2018-03-28T14:09:25.513Z,2021-03-04T04:51:13.448Z,
688,,GCF_000725405,GCF_000725405.1,1,GCA_000725405,GCA_000725405.1,1274,Dermacoccus nishinomiyaensis,representative genome,PRJNA224116,SAMN02902417,,,latest,Complete Genome,Major,2014-07-14,ASM72540v1,University of Malaya,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/725/405/GCF_000725405.1_ASM72540v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Dermacoccus,Dermacoccus nishinomiyaensis,,{},{},2902417,2018-03-28T14:09:25.513Z,2021-03-04T04:51:15.672Z,
689,,GCF_000023925,GCF_000023925.1,1,GCA_000023925,GCA_000023925.1,478801,Kytococcus sedentarius DSM 20547,representative genome,PRJNA224116,SAMN02598443,,,latest,Complete Genome,Major,2009-08-27,ASM2392v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/925/GCF_000023925.1_ASM2392v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermacoccaceae,Kytococcus,Kytococcus sedentarius,DSM 20547,{},{},2598443,2018-03-28T14:09:25.513Z,2021-03-04T04:51:17.888Z,
738,,GCF_001437015,GCF_001437015.1,1,GCA_001437015,GCA_001437015.1,1381,Atopobium minutum,representative genome,PRJNA224116,SAMN02797803,JQBO00000000.1,,latest,Scaffold,Major,2015-11-06,ASM143701v1,Shanghai Majorbio,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/437/015/GCF_001437015.1_ASM143701v1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium minutum,,{},{},2797803,2018-03-28T14:09:25.550Z,2021-03-04T04:52:48.464Z,
739,,GCF_000024225,GCF_000024225.1,1,GCA_000024225,GCA_000024225.1,521095,Atopobium parvulum DSM 20469,representative genome,PRJNA224116,SAMN00001907,,,latest,Complete Genome,Major,2009-09-09,ASM2422v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/225/GCF_000024225.1_ASM2422v1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium parvulum,DSM 20469,{},{},1907,2018-03-28T14:09:25.550Z,2021-03-04T04:52:49.590Z,
740,,GCF_000174015,GCF_000174015.1,1,GCA_000174015,GCA_000174015.1,553184,Atopobium rimae ATCC 49626,representative genome,PRJNA224116,SAMN00000717,ACFE00000000.1,,latest,Contig,Major,2009-01-22,ASM17401v1,J. Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/015/GCF_000174015.1_ASM17401v1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,Atopobium rimae,ATCC 49626,{},{},717,2018-03-28T14:09:25.550Z,2021-03-04T04:52:51.654Z,
830,,GCF_000470775,GCF_000470775.1,1,GCA_000470775,GCA_000470775.1,1389489,Leifsonia xyli subsp. cynodontis DSM 46306,representative genome,PRJNA224116,SAMN02603223,,,latest,Complete Genome,Major,2013-09-24,ASM47077v1,ESALQ-USP,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/470/775/GCF_000470775.1_ASM47077v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leifsonia,Leifsonia xyli,subsp. cynodontis DSM 46306,{},{},2603223,2018-03-28T14:09:25.639Z,2021-03-04T04:55:33.604Z,
870,,GCF_000018885,GCF_000018885.1,1,GCA_000018885,GCA_000018885.1,288705,Renibacterium salmoninarum ATCC 33209,representative genome,PRJNA224116,SAMN02603684,,,latest,Complete Genome,Major,2007-12-18,ASM1888v1,"Northwest Fisheries Science Center, NOAA Fisheries Service",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/885/GCF_000018885.1_ASM1888v1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum,ATCC 33209,{},{},2603684,2018-03-28T14:09:25.673Z,2021-03-04T04:56:52.614Z,
