id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
257,,GCF_000010525,GCF_000010525.1,1,GCA_000010525,GCA_000010525.1,438753,Azorhizobium caulinodans ORS 571,representative genome,PRJNA224116,SAMD00060925,,,latest,Complete Genome,Major,2007-10-16,ASM1052v1,University of Tokyo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,ORS 571,{},{},5831728,2018-03-28T14:09:25.187Z,2021-03-04T04:38:47.735Z,
277,,GCF_001375595,GCF_001375595.1,1,GCA_001375595,GCA_001375595.1,31967,Phenylobacterium immobile (ATCC 35973),representative genome,PRJNA224116,SAMEA3309515,CVJQ00000000.1,,latest,Contig,Major,2015-04-06,Draft genome of P. immobile strain E (DSM 1986),Institute of Technical Biochemistry,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/375/595/GCF_001375595.1_Draft_genome_of_P._immobile_strain_E_DSM_1986_,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium immobile,(ATCC 35973),{},{},3458013,2018-03-28T14:09:25.187Z,2021-03-04T04:39:20.565Z,
291,,GCF_000685215,GCF_000685215.1,1,GCA_000685215,GCA_000685215.1,1280952,Hyphomonas jannaschiana VP2,representative genome,PRJNA224116,SAMN02746699,ARYJ00000000.1,,latest,Contig,Major,2014-05-06,SOAPdenovo v1.05,The Third Institute of State Oceanic Administration (SOA),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/685/215/GCF_000685215.1_SOAPdenovo_v1.05,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,Hyphomonas jannaschiana,VP2,{},{},2746699,2018-03-28T14:09:25.187Z,2021-03-04T04:39:42.934Z,
302,,GCF_000283235,GCF_000283235.1,1,GCA_000283235,GCA_000283235.1,1134912,Methylocystis parvus OBBP,representative genome,PRJNA224116,SAMN02469457,AJTV00000000.1,,latest,Contig,Major,2012-07-31,MetPar_1.0,CIB-CSIC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/235/GCF_000283235.1_MetPar_1.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,OBBP,{},{},2469457,2018-03-28T14:09:25.188Z,2021-03-04T04:40:02.026Z,
320,,GCF_000381985,GCF_000381985.1,1,GCA_000381985,GCA_000381985.1,1279038,Novispirillum itersonii subsp. itersonii ATCC 12639,representative genome,PRJNA224116,SAMN02441318,ARMX00000000.1,,latest,Scaffold,Major,2013-04-24,ASM38198v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/381/985/GCF_000381985.1_ASM38198v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Novispirillum,Novispirillum itersonii,subsp. itersonii ATCC 12639,{},{},2441318,2018-03-28T14:09:25.247Z,2021-03-04T04:40:32.914Z,
322,,GCF_001315015,GCF_001315015.1,1,GCA_001315015,GCA_001315015.1,192,Azospirillum brasilense,representative genome,PRJNA224116,SAMN04005082,,,latest,Complete Genome,Major,2015-10-15,ASM131501v1,Kyungpook National University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum brasilense,,{},{},4005082,2018-03-28T14:09:25.247Z,2021-03-04T04:40:35.724Z,
323,,GCF_900177475,GCF_900177475.1,1,GCA_900177475,GCA_900177475.1,193,Azospirillum lipoferum,representative genome,PRJNA224116,SAMN02982994,FXBR00000000.1,,latest,Contig,Major,2017-04-21,IMG-taxon 2622736628 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/177/475/GCF_900177475.1_IMG-taxon_2622736628_annotated_assembly,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum lipoferum,,{},{},2982994,2018-03-28T14:09:25.247Z,2021-03-04T04:40:37.032Z,
353,,GCF_000203895,GCF_000203895.1,1,GCA_000203895,GCA_000203895.1,318586,Paracoccus denitrificans PD1222,representative genome,PRJNA224116,SAMN02598290,,,latest,Complete Genome,Major,2006-12-13,ASM20389v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/895/GCF_000203895.1_ASM20389v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus denitrificans,PD1222,{},{},2598290,2018-03-28T14:09:25.248Z,2021-03-04T04:41:28.937Z,
358,,GCF_000017645,GCF_000017645.1,1,GCA_000017645,GCA_000017645.1,78245,Xanthobacter autotrophicus Py2,representative genome,PRJNA224116,SAMN02598342,,,latest,Complete Genome,Major,2007-07-30,ASM1764v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/645/GCF_000017645.1_ASM1764v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,Xanthobacter autotrophicus,Py2,{},{},2598342,2018-03-28T14:09:25.281Z,2021-03-04T04:41:35.981Z,
378,,GCF_000696095,GCF_000696095.1,1,GCA_000696095,GCA_000696095.1,1220581,Rhizobium rhizogenes NBRC 13257,representative genome,PRJNA224116,SAMD00016801,BAYX00000000.1,,latest,Contig,Major,2014-05-17,ASM69609v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/095/GCF_000696095.1_ASM69609v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium rhizogenes,NBRC 13257,{},{},3324453,2018-03-28T14:09:25.282Z,2021-03-04T04:42:09.483Z,
