,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,OTER_RS22865,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS22865,OTER,-45.235676,-6.6350675
1,OTER_RS22675,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS22675,OTER,45.373867,-25.3017
2,OTER_RS24700,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS24700,OTER,47.87687,-17.152248
3,OTER_RS24695,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24695,OTER,2.6679866,-36.365204
4,OTER_RS22095,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Sigma54_activat,GCF_000019965.1-OTER_RS22095,OTER,43.23379,-16.588923
5,OTER_RS20755,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS20755,OTER,0.7341292,-7.0760293
6,OTER_RS19485,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS19485,OTER,-14.334453,-12.628535
7,OTER_RS19350,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HDOD,GCF_000019965.1-OTER_RS19350,OTER,-1.1597643,-33.849926
8,OTER_RS21455,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS21455,OTER,-37.82506,1.7255737
9,OTER_RS21435,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS21435,OTER,-47.412106,-14.322561
10,OTER_RS19765,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS19765,OTER,-27.351318,33.910347
11,OTER_RS17065,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS17065,OTER,-51.353073,-14.068379
12,OTER_RS16990,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16990,OTER,-50.116642,10.613831
13,OTER_RS16680,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS16680,OTER,-12.447988,7.7892733
14,OTER_RS16390,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16390,OTER,-55.481384,-8.932576
15,OTER_RS16350,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16350,OTER,-51.27834,-14.108294
16,OTER_RS16120,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS16120,OTER,-48.581955,13.93903
17,OTER_RS15020,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS15020,OTER,-40.198048,0.86965156
18,OTER_RS14885,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14885,OTER,-20.327375,-7.5664263
19,OTER_RS14880,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,CheB_methylest,GCF_000019965.1-OTER_RS14880,OTER,-18.457855,-20.653584
20,OTER_RS14820,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS14820,OTER,-37.12879,-9.788134
21,OTER_RS14465,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS14465,OTER,46.425663,-11.512341
22,OTER_RS14375,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14375,OTER,11.192254,32.343372
23,OTER_RS14360,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS14360,OTER,-18.21197,10.099058
24,OTER_RS24225,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24225,OTER,11.22752,32.365387
25,OTER_RS12950,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GGDEF,GCF_000019965.1-OTER_RS12950,OTER,21.33636,-14.4574795
26,OTER_RS12910,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS12910,OTER,20.378256,-2.496459
27,OTER_RS24285,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24285,OTER,12.513595,-7.224302
28,OTER_RS12645,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS12645,OTER,-50.99632,-14.22017
29,OTER_RS11795,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS11795,OTER,-26.427233,32.809864
30,OTER_RS11790,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,LytTR,GCF_000019965.1-OTER_RS11790,OTER,-26.489105,32.751106
31,OTER_RS25200,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS25200,OTER,-20.709377,16.241749
32,OTER_RS11550,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS11550,OTER,-11.624641,-12.254066
33,OTER_RS11335,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS11335,OTER,-47.270493,-14.153426
34,OTER_RS24045,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS24045,OTER,12.549536,-5.361269
35,OTER_RS09650,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS09650,OTER,-4.5117326,31.969131
36,OTER_RS08545,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,GerE,GCF_000019965.1-OTER_RS08545,OTER,-37.575123,-6.2721205
37,OTER_RS08325,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,HTH_8,GCF_000019965.1-OTER_RS08325,OTER,-10.258433,18.328993
38,OTER_RS08280,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS08280,OTER,1.4971443,-16.082176
39,OTER_RS08275,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,,GCF_000019965.1-OTER_RS08275,OTER,2.2694893,1.8310276
40,OTER_RS08180,GCF_000019965.1,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,Opitutus terrae,Trans_reg_C,GCF_000019965.1-OTER_RS08180,OTER,27.254126,-13.603103
