,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,BM091_RS09540,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,HTH_8,GCF_900114975.1-BM091_RS09540,BM091,3.4941285,-25.33833
1,BM091_RS09435,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,HTH_8,GCF_900114975.1-BM091_RS09435,BM091,2.130025,-32.80248
2,BM091_RS08240,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,,GCF_900114975.1-BM091_RS08240,BM091,16.285898,-14.507141
3,BM091_RS07340,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,,GCF_900114975.1-BM091_RS07340,BM091,-18.84115,-6.651119
4,BM091_RS07915,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,HTH_8,GCF_900114975.1-BM091_RS07915,BM091,-7.8481426,-29.2042
5,BM091_RS09880,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,GGDEF,GCF_900114975.1-BM091_RS09880,BM091,-12.610474,29.780113
6,BM091_RS09875,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,,GCF_900114975.1-BM091_RS09875,BM091,-15.020733,26.709204
7,BM091_RS09870,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,CheB_methylest,GCF_900114975.1-BM091_RS09870,BM091,-5.8149457,53.919376
8,BM091_RS13305,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,HTH_8,GCF_900114975.1-BM091_RS13305,BM091,-7.705225,-34.826958
9,BM091_RS06010,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,,GCF_900114975.1-BM091_RS06010,BM091,-1.1481056,-43.099262
10,BM091_RS05995,GCF_900114975.1,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,Thermodesulforhabdus norvegica,HTH_8,GCF_900114975.1-BM091_RS05995,BM091,-5.844025,-30.317371
