id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
360,,GCF_000006765,GCF_000006765.1,1,GCA_000006765,GCA_000006765.1,208964,Pseudomonas aeruginosa PAO1,reference genome,PRJNA57945,SAMN02603714,,,latest,Complete Genome,Major,2006-07-07,ASM676v1,PathoGenesis Corporation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,PAO1,{},{},2603714,2018-03-28T14:09:25.281Z,2021-03-04T04:41:39.586Z,
363,,GCF_000237065,GCF_000237065.1,1,GCA_000237065,GCA_000237065.1,1114970,Pseudomonas fluorescens F113,representative genome,PRJNA224116,SAMN02604099,,,latest,Complete Genome,Major,2011-12-09,ASM23706v1,Universidad Autónoma de Madrid,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/065/GCF_000237065.1_ASM23706v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,F113,{},{},2604099,2018-03-28T14:09:25.281Z,2021-03-04T04:41:43.817Z,
364,,GCF_000016565,GCF_000016565.1,1,GCA_000016565,GCA_000016565.1,399739,Pseudomonas mendocina ymp,representative genome,PRJNA224116,SAMN02598392,,,latest,Complete Genome,Major,2007-04-20,ASM1656v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/565/GCF_000016565.1_ASM1656v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina,ymp,{},{},2598392,2018-03-28T14:09:25.281Z,2021-03-04T04:41:44.944Z,
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
368,,GCF_000219605,GCF_000219605.1,1,GCA_000219605,GCA_000219605.1,316,Pseudomonas stutzeri,representative genome,PRJNA224116,SAMN02603041,,,latest,Complete Genome,Major,2011-06-29,ASM21960v1,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/605/GCF_000219605.1_ASM21960v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,{},{},2603041,2018-03-28T14:09:25.281Z,2021-03-04T04:41:52.191Z,
370,,GCF_000012245,GCF_000012245.1,1,GCA_000012245,GCA_000012245.1,205918,Pseudomonas syringae pv. syringae B728a,reference genome,PRJNA57931,SAMN02604347,,,latest,Complete Genome,Major,2005-05-12,ASM1224v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,pv. syringae B728a,{},{},2604347,2018-03-28T14:09:25.282Z,2021-03-04T04:41:55.349Z,
1543,,GCF_001597285,GCF_001597285.1,1,GCA_001597285,GCA_001597285.1,43263,Pseudomonas alcaligenes,representative genome,PRJNA224116,SAMN04539664,,,latest,Complete Genome,Major,2016-03-25,ASM159728v1,"New England Biolabs, Inc.",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/597/285/GCF_001597285.1_ASM159728v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas alcaligenes,,{},{},4539664,2018-03-28T14:09:26.171Z,2021-03-04T05:16:33.575Z,
1635,,GCF_002091755,GCF_002091755.1,1,GCA_002091755,GCA_002091755.1,1215112,Pseudomonas nitroreducens NBRC 12694,representative genome,PRJNA224116,SAMD00046934,BDAI00000000.1,,latest,Contig,Major,2017-04-03,ASM209175v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/091/755/GCF_002091755.1_ASM209175v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas nitroreducens,NBRC 12694,{},{},4491502,2018-03-28T14:09:26.248Z,2021-03-04T05:19:14.861Z,
1670,,GCF_000213805,GCF_000213805.1,1,GCA_000213805,GCA_000213805.1,743720,Pseudomonas fulva 12-X,representative genome,PRJNA224116,SAMN00713619,,,latest,Complete Genome,Major,2011-05-17,ASM21380v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/805/GCF_000213805.1_ASM21380v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fulva,12-X,{},{},713619,2018-03-28T14:09:26.276Z,2021-03-04T05:20:21.467Z,
1690,,GCF_900108595,GCF_900108595.1,1,GCA_900108595,GCA_900108595.1,50340,Pseudomonas fuscovaginae,representative genome,PRJNA224116,SAMN05216581,,,latest,Chromosome,Major,2016-10-27,IMG-taxon 2667527230 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/108/595/GCF_900108595.1_IMG-taxon_2667527230_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fuscovaginae,,{},{},5216581,2018-03-28T14:09:26.276Z,2021-03-04T05:20:55.122Z,
1744,,GCF_900105355,GCF_900105355.1,1,GCA_900105355,GCA_900105355.1,53406,Pseudomonas anguilliseptica,representative genome,PRJNA224116,SAMN05421553,FNSC00000000.1,,latest,Contig,Major,2016-10-22,IMG-taxon 2687453785 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/355/GCF_900105355.1_IMG-taxon_2687453785_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas anguilliseptica,,{},{},5421553,2018-03-28T14:09:26.302Z,2021-03-04T05:22:29.662Z,
1745,,GCF_001654435,GCF_001654435.1,1,GCA_001654435,GCA_001654435.1,53408,Pseudomonas citronellolis,representative genome,PRJNA224116,SAMN05178539,,,latest,Complete Genome,Major,2016-06-02,ASM165443v1,Shanghai JiaoTong University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/654/435/GCF_001654435.1_ASM165443v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas citronellolis,,{},{},5178539,2018-03-28T14:09:26.302Z,2021-03-04T05:22:31.254Z,
1746,,GCF_000412695,GCF_000412695.1,1,GCA_000412695,GCA_000412695.1,1245471,Pseudomonas resinovorans NBRC 106553,representative genome,PRJNA224116,SAMD00061053,,,latest,Complete Genome,Major,2013-06-14,ASM41269v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/695/GCF_000412695.1_ASM41269v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas resinovorans,NBRC 106553,{},{},5831856,2018-03-28T14:09:26.302Z,2021-03-04T05:22:32.385Z,
1984,,GCF_000818015,GCF_000818015.1,1,GCA_000818015,GCA_000818015.1,1123016,Pseudomonas balearica DSM 6083,representative genome,PRJNA224116,SAMN02673660,,,latest,Complete Genome,Major,2015-01-14,ASM81801v1,MICROGEN. Microbial Comparative Genomics,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/818/015/GCF_000818015.1_ASM81801v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas balearica,DSM 6083,{},{},2673660,2018-03-28T14:09:26.437Z,2021-03-04T05:29:38.518Z,
2004,,GCF_001534745,GCF_001534745.1,1,GCA_001534745,GCA_001534745.1,76759,Pseudomonas monteilii,representative genome,PRJNA224116,SAMN04158505,,,latest,Complete Genome,Major,2016-01-25,ASM153474v1,USDA-ARS-USMARC,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/534/745/GCF_001534745.1_ASM153474v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas monteilii,,{},{},4158505,2018-03-28T14:09:26.438Z,2021-03-04T05:30:14.737Z,
2457,,GCF_002091635,GCF_002091635.1,1,GCA_002091635,GCA_002091635.1,1215103,Pseudomonas indica NBRC 103045,representative genome,PRJNA224116,SAMD00046928,BDAC00000000.1,,latest,Contig,Major,2017-04-03,ASM209163v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/091/635/GCF_002091635.1_ASM209163v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas indica,NBRC 103045,{},{},4491496,2018-03-28T14:09:26.727Z,2021-03-04T05:43:28.309Z,
2583,,GCF_000364625,GCF_000364625.1,1,GCA_000364625,GCA_000364625.1,1123021,Pseudomonas thermotolerans DSM 14292,representative genome,PRJNA224116,SAMN02441073,AQPA00000000.1,,latest,Scaffold,Major,2013-04-15,ASM36462v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/625/GCF_000364625.1_ASM36462v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas thermotolerans,DSM 14292,{},{},2441073,2018-03-28T14:09:26.779Z,2021-03-04T05:47:13.843Z,
2821,,GCF_900103845,GCF_900103845.1,1,GCA_900103845,GCA_900103845.1,198616,Pseudomonas jinjuensis,representative genome,PRJNA224116,SAMN05216193,FNIJ00000000.1,,latest,Scaffold,Major,2016-10-21,IMG-taxon 2663762768 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/845/GCF_900103845.1_IMG-taxon_2663762768_annotated_assembly,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas jinjuensis,,{},{},5216193,2018-03-28T14:09:26.917Z,2021-03-04T05:54:00.724Z,
