,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,BMZ23_RS09000,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,,GCF_900114825.1-BMZ23_RS09000,BMZ23,18.268353,41.07221
1,BMZ23_RS08995,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,,GCF_900114825.1-BMZ23_RS08995,BMZ23,7.593903,31.974796
2,BMZ23_RS08955,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,Trans_reg_C,GCF_900114825.1-BMZ23_RS08955,BMZ23,16.446016,7.941976
3,BMZ23_RS08915,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,HTH_8,GCF_900114825.1-BMZ23_RS08915,BMZ23,-4.997323,-39.626514
4,BMZ23_RS08805,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,Trans_reg_C,GCF_900114825.1-BMZ23_RS08805,BMZ23,31.89444,-18.172785
5,BMZ23_RS14495,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,GerE,GCF_900114825.1-BMZ23_RS14495,BMZ23,5.130585,-11.986729
6,BMZ23_RS12530,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,Sigma54_activat,GCF_900114825.1-BMZ23_RS12530,BMZ23,11.213546,-41.419758
7,BMZ23_RS09345,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,Trans_reg_C,GCF_900114825.1-BMZ23_RS09345,BMZ23,20.003782,-5.2640476
8,BMZ23_RS06375,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,GerE,GCF_900114825.1-BMZ23_RS06375,BMZ23,-24.42884,29.296822
9,BMZ23_RS09935,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,,GCF_900114825.1-BMZ23_RS09935,BMZ23,-5.1118793,19.064074
10,BMZ23_RS07185,GCF_900114825.1,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas yangmingensis,,GCF_900114825.1-BMZ23_RS07185,BMZ23,15.390318,-23.617756
