,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,SPV1_RS06715,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS06715,SPV1,-5.9238424,-28.336948
1,SPV1_RS06540,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06540,SPV1,-17.362736,-35.402657
2,SPV1_RS06340,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD,GCF_000153765.1-SPV1_RS06340,SPV1,-62.379543,27.105259
3,SPV1_RS06335,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS06335,SPV1,20.009235,-42.324673
4,SPV1_RS06325,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06325,SPV1,-36.08567,0.9254084
5,SPV1_RS06205,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS06205,SPV1,-34.60997,-16.921083
6,SPV1_RS05000,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS05000,SPV1,38.103004,17.449171
7,SPV1_RS04245,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS04245,SPV1,47.833588,-27.531828
8,SPV1_RS04090,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS04090,SPV1,-9.178738,-17.77893
9,SPV1_RS03740,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS03740,SPV1,-19.552729,-10.911209
10,SPV1_RS03335,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD_5,GCF_000153765.1-SPV1_RS03335,SPV1,20.957872,5.9272337
11,SPV1_RS03095,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS03095,SPV1,-28.755522,-20.412231
12,SPV1_RS03045,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS03045,SPV1,-24.128122,0.98584545
13,SPV1_RS05820,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS05820,SPV1,-2.1970913,1.7543156
14,SPV1_RS05745,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HD,GCF_000153765.1-SPV1_RS05745,SPV1,-6.343978,14.956476
15,SPV1_RS05155,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Trans_reg_C,GCF_000153765.1-SPV1_RS05155,SPV1,33.56191,-10.091317
16,SPV1_RS02090,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Guanylate_cyc,GCF_000153765.1-SPV1_RS02090,SPV1,-13.599249,24.28188
17,SPV1_RS00925,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,EAL,GCF_000153765.1-SPV1_RS00925,SPV1,-54.638313,-8.398694
18,SPV1_RS00490,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Guanylate_cyc,GCF_000153765.1-SPV1_RS00490,SPV1,-14.975862,27.526169
19,SPV1_RS00425,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,GerE,GCF_000153765.1-SPV1_RS00425,SPV1,25.295088,53.794857
20,SPV1_RS00405,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS00405,SPV1,-6.229554,-27.28608
21,SPV1_RS13210,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,,GCF_000153765.1-SPV1_RS13210,SPV1,-5.756859,-61.02543
22,SPV1_RS12770,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,HTH_8,GCF_000153765.1-SPV1_RS12770,SPV1,-27.214415,8.359254
23,SPV1_RS12085,GCF_000153765.1,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrooxydans,Trans_reg_C,GCF_000153765.1-SPV1_RS12085,SPV1,8.415303,-28.027256
