,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,SP6_RS02165,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS02165,SP6,-17.733839,-13.465581
1,SP6_RS01960,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS01960,SP6,-20.222534,-25.70312
2,SP6_RS01640,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS01640,SP6,-20.878376,-0.032090824
3,SP6_RS02450,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS02450,SP6,-15.909547,-14.962063
4,SP6_RS03360,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS03360,SP6,-22.887749,-26.529676
5,SP6_RS03125,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,CheB_methylest,GCF_000739895.2-SP6_RS03125,SP6,-4.6643305,30.846132
6,SP6_RS03120,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS03120,SP6,2.7935905,24.073545
7,SP6_RS03565,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS03565,SP6,-31.363235,-14.995052
8,SP6_RS19990,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,PAS,GCF_000739895.2-SP6_RS19990,SP6,27.278683,17.171162
9,SP6_RS05310,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,HTH_8,GCF_000739895.2-SP6_RS05310,SP6,21.163883,-1.5778482
10,SP6_RS05300,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,HTH_8,GCF_000739895.2-SP6_RS05300,SP6,19.910671,7.6018677
11,SP6_RS05110,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS05110,SP6,-26.763311,-4.738095
12,SP6_RS05020,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,HTH_8,GCF_000739895.2-SP6_RS05020,SP6,27.207224,24.927994
13,SP6_RS04905,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS04905,SP6,-1.3635472,-4.676478
14,SP6_RS04865,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,EAL,GCF_000739895.2-SP6_RS04865,SP6,8.035365,-3.6107366
15,SP6_RS05560,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS05560,SP6,-28.590555,-16.845423
16,SP6_RS05480,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS05480,SP6,12.217072,-7.1179547
17,SP6_RS04795,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS04795,SP6,-4.699085,-7.5065184
18,SP6_RS04725,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Sigma54_activat,GCF_000739895.2-SP6_RS04725,SP6,25.511456,7.0946736
19,SP6_RS07445,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS07445,SP6,-17.98629,4.005146
20,SP6_RS07270,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,Trans_reg_C,GCF_000739895.2-SP6_RS07270,SP6,-14.650455,-7.0714226
21,SP6_RS07670,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS07670,SP6,7.7271576,20.133162
22,SP6_RS07635,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,CheB_methylest,GCF_000739895.2-SP6_RS07635,SP6,0.9986129,33.78892
23,SP6_RS08990,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS08990,SP6,-7.217019,-25.547304
24,SP6_RS09370,GCF_000739895.2,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas paucimobilis,,GCF_000739895.2-SP6_RS09370,SP6,-24.511312,-22.020882
