index,id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
926,1272,,GCF_000497245,GCF_000497245.1,1,GCA_000497245,GCA_000497245.1,1395513,Sporolactobacillus laevolacticus DSM 442,representative genome,PRJNA224116,SAMN02469411,AWTC00000000.1,,latest,Contig,Major,2013-11-18,DSM442V1,"CAS Key Laboratory of Microbial Physiological and Metabolic Engineering, Institute of Microbiology, Chinese Academy of Sciences",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/497/245/GCF_000497245.1_DSM442V1,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus laevolacticus,DSM 442,{},{},2469411,2018-03-28T14:09:26.012Z,2021-03-04T05:08:38.749Z,
3790,4197,,GCF_000425865,GCF_000425865.1,1,GCA_000425865,GCA_000425865.1,1122143,Lacticigenium naphtae DSM 19658,representative genome,PRJNA224116,SAMN02440849,AUEG00000000.1,,latest,Scaffold,Major,2013-07-11,ASM42586v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/425/865/GCF_000425865.1_ASM42586v1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium,Lacticigenium naphtae,DSM 19658,{},{},2440849,2018-03-28T14:09:27.892Z,2021-03-04T06:34:56.081Z,
2275,2657,,GCF_000173815,GCF_000173815.1,1,GCA_000173815,GCA_000173815.1,478749,Marvinbryantia formatexigens DSM 14469,representative genome,PRJNA224116,SAMN00000025,ACCL00000000.2,,latest,Contig,Major,2009-06-22,ASM17381v1,Washington University Genome Sequencing Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/815/GCF_000173815.1_ASM17381v1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,DSM 14469,{},{},25,2018-03-28T14:09:26.837Z,2021-03-04T05:49:17.937Z,
910,1256,,GCF_000020485,GCF_000020485.1,1,GCA_000020485,GCA_000020485.1,373903,Halothermothrix orenii H 168,representative genome,PRJNA224116,SAMN00623047,,,latest,Complete Genome,Major,2009-01-13,ASM2048v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/485/GCF_000020485.1_ASM2048v1,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,Halothermothrix orenii,H 168,{},{},623047,2018-03-28T14:09:25.980Z,2021-03-04T05:08:10.874Z,
3260,3659,,GCF_000020005,GCF_000020005.1,1,GCA_000020005,GCA_000020005.1,457570,Natranaerobius thermophilus JW/NM-WN-LF,representative genome,PRJNA224116,SAMN02598430,,,latest,Complete Genome,Major,2008-04-09,ASM2000v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/005/GCF_000020005.1_ASM2000v1,Bacteria,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Natranaerobius,Natranaerobius thermophilus,JW/NM-WN-LF,{},{},2598430,2018-03-28T14:09:27.518Z,2021-03-04T06:19:01.179Z,
2702,3091,,GCF_000213255,GCF_000213255.1,1,GCA_000213255,GCA_000213255.1,697281,Mahella australiensis 50-1 BON,representative genome,PRJNA224116,SAMN02232034,,,latest,Complete Genome,Major,2011-05-12,ASM21325v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/255/GCF_000213255.1_ASM21325v1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family IV. Incertae Sedis,Mahella,Mahella australiensis,50-1 BON,{},{},2232034,2018-03-28T14:09:27.116Z,2021-03-04T06:01:53.915Z,
913,1259,,GCF_000154285,GCF_000154285.1,1,GCA_000154285,GCA_000154285.1,428127,Absiella dolichum DSM 3991,representative genome,PRJNA224116,SAMN00000734,ABAW00000000.2,,latest,Scaffold,Major,2007-09-12,ASM15428v1,Washington University Genome Sequencing Center,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/285/GCF_000154285.1_ASM15428v1,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,Absiella dolichum,DSM 3991,{},{},12519772,2018-03-28T14:09:26.012Z,2021-03-04T05:08:16.154Z,
5055,5479,,GCF_001544015,GCF_001544015.1,1,GCA_001544015,GCA_001544015.1,1555112,Limnochorda pilosa,representative genome,PRJNA224116,SAMD00034894,,,latest,Complete Genome,Major,2015-08-21,ASM154401v1,The Institute of Low Temperature Science,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/544/015/GCF_001544015.1_ASM154401v1,Bacteria,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,Limnochorda pilosa,,{},{},4092283,2018-03-28T14:09:28.905Z,2021-03-04T07:13:04.918Z,
1161,1520,,GCF_900112895,GCF_900112895.1,1,GCA_900112895,GCA_900112895.1,1123323,Succiniclasticum ruminis DSM 9236,representative genome,PRJNA224116,SAMN05216245,FONL00000000.1,,latest,Scaffold,Major,2016-11-02,IMG-taxon 2654588123 annotated assembly,DOE - JOINT GENOME INSTITUTE,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/895/GCF_900112895.1_IMG-taxon_2654588123_annotated_assembly,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,Succiniclasticum ruminis,DSM 9236,{},{},5216245,2018-03-28T14:09:26.171Z,2021-03-04T05:15:42.574Z,
724,1065,,GCF_000219125,GCF_000219125.1,1,GCA_000219125,GCA_000219125.2,1009370,Acetonema longum DSM 6540,representative genome,PRJNA224116,SAMN02469409,AFGF00000000.1,,latest,Scaffold,Major,2011-06-22,ASM21912v1,California Institute of Technology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Acetonema,Acetonema longum,DSM 6540,{},{},2469409,2018-03-28T14:09:25.859Z,2021-03-04T05:02:37.919Z,
