id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
422,,GCF_000021685,GCF_000021685.1,1,GCA_000021685,GCA_000021685.1,309801,Thermomicrobium roseum DSM 5159,representative genome,PRJNA224116,SAMN02603430,,,latest,Complete Genome,Major,2009-01-22,ASM2168v1,J Craig Venter Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/685/GCF_000021685.1_ASM2168v1,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum,DSM 5159,{},{},2603430,2018-03-28T14:09:25.320Z,2021-03-04T04:43:27.132Z,
643,,GCF_000018865,GCF_000018865.1,1,GCA_000018865,GCA_000018865.1,324602,Chloroflexus aurantiacus J-10-fl,reference genome,PRJNA57657,SAMN02598539,,,latest,Complete Genome,Major,2007-12-20,ASM1886v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/865/GCF_000018865.1_ASM1886v1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aurantiacus,J-10-fl,{},{},2598539,2018-03-28T14:09:25.467Z,2021-03-04T04:49:57.052Z,
1014,,GCF_000024985,GCF_000024985.1,1,GCA_000024985,GCA_000024985.1,479434,Sphaerobacter thermophilus DSM 20745,representative genome,PRJNA224116,SAMN02598446,,,latest,Complete Genome,Major,2009-11-23,ASM2498v1,US DOE Joint Genome Institute (JGI-PGF),ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/985/GCF_000024985.1_ASM2498v1,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Sphaerobacter thermophilus,DSM 20745,{},{},2598446,2018-03-28T14:09:25.798Z,2021-03-04T05:01:10.173Z,
1858,,GCF_000011905,GCF_000011905.1,1,GCA_000011905,GCA_000011905.1,243164,Dehalococcoides mccartyi 195,representative genome,PRJNA224116,SAMN02603990,,,latest,Complete Genome,Major,2005-01-07,ASM1190v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/905/GCF_000011905.1_ASM1190v1,Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,Dehalococcoides mccartyi,195,{},{},2603990,2018-03-28T14:09:26.386Z,2021-03-04T05:25:55.110Z,
1955,,GCF_001306135,GCF_001306135.1,1,GCA_001306135,GCA_001306135.1,70996,Herpetosiphon geysericola,representative genome,PRJNA224116,SAMN03274862,LGKP00000000.1,,latest,Contig,Major,2015-10-02,ASM130613v1,California Institute of Technology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/306/135/GCF_001306135.1_ASM130613v1,Bacteria,Chloroflexi,Chloroflexia,Herpetosiphonales,Herpetosiphonaceae,Herpetosiphon,Herpetosiphon geysericola,,{},{},3274862,2018-03-28T14:09:26.411Z,2021-03-04T05:28:55.212Z,
2286,,GCF_000152145,GCF_000152145.1,1,GCA_000152145,GCA_000152145.1,765420,Oscillochloris trichoides DG-6,representative genome,PRJNA224116,SAMN02469416,ADVR00000000.1,,latest,Scaffold,Major,2010-10-14,ASM15214v1,Center Bioengineering RAS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/152/145/GCF_000152145.1_ASM15214v1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris,Oscillochloris trichoides,DG-6,{},{},2469416,2018-03-28T14:09:26.617Z,2021-03-04T05:38:36.829Z,
2383,,GCF_000017805,GCF_000017805.1,1,GCA_000017805,GCA_000017805.1,383372,Roseiflexus castenholzii DSM 13941,representative genome,PRJNA224116,SAMN02598306,,,latest,Complete Genome,Major,2007-08-23,ASM1780v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/805/GCF_000017805.1_ASM1780v1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Roseiflexus castenholzii,DSM 13941,{},{},2598306,2018-03-28T14:09:26.677Z,2021-03-04T05:41:26.684Z,
2424,,GCF_000281175,GCF_000281175.1,1,GCA_000281175,GCA_000281175.1,926550,Caldilinea aerophila DSM 14535 = NBRC 104270,representative genome,PRJNA224116,SAMD00061033,,,latest,Complete Genome,Major,2012-03-28,ASM28117v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/175/GCF_000281175.1_ASM28117v1,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea,Caldilinea aerophila,DSM 14535 = NBRC 104270,{},{},5831836,2018-03-28T14:09:26.705Z,2021-03-04T05:42:36.303Z,
2530,,GCF_000021945,GCF_000021945.1,1,GCA_000021945,GCA_000021945.1,326427,Chloroflexus aggregans DSM 9485,representative genome,PRJNA224116,SAMN00623036,,,latest,Complete Genome,Major,2009-01-05,ASM2194v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/945/GCF_000021945.1_ASM2194v1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,Chloroflexus aggregans,DSM 9485,{},{},623036,2018-03-28T14:09:26.752Z,2021-03-04T05:45:43.414Z,
2653,,GCF_000199675,GCF_000199675.1,1,GCA_000199675,GCA_000199675.1,926569,Anaerolinea thermophila UNI-1,representative genome,PRJNA224116,SAMD00061114,,,latest,Complete Genome,Major,2011-01-24,ASM19967v1,National Institute of Technology and Evaluation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/199/675/GCF_000199675.1_ASM19967v1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anaerolinea thermophila,UNI-1,{},{},5831917,2018-03-28T14:09:26.804Z,2021-03-04T05:49:09.934Z,
