id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
258,,GCF_000007365,GCF_000007365.1,1,GCA_000007365,GCA_000007365.1,198804,Buchnera aphidicola str. Sg (Schizaphis graminum),representative genome,PRJNA224116,SAMN02604269,,,latest,Complete Genome,Major,2002-07-02,ASM736v1,Uppsala Univ.,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,str. Sg (Schizaphis graminum),{},{},2604269,2018-03-28T14:09:25.187Z,2021-03-04T04:38:49.137Z,
278,,GCF_000518705,GCF_000518705.1,1,GCA_000518705,GCA_000518705.1,1336240,Shewanella colwelliana ATCC 39565,representative genome,PRJNA224116,SAMN02584968,JAEC00000000.1,,latest,Scaffold,Major,2014-01-13,ASM51870v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/705/GCF_000518705.1_ASM51870v1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella colwelliana,ATCC 39565,{},{},2584968,2018-03-28T14:09:25.187Z,2021-03-04T04:39:21.829Z,
289,,GCF_001442515,GCF_001442515.1,1,GCA_001442515,GCA_001442515.1,69,Lysobacter enzymogenes,representative genome,PRJNA224116,SAMN04158597,,,latest,Chromosome,Major,2015-11-12,ASM144251v1,"Rutgers, The State University of New Jersey",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/515/GCF_001442515.1_ASM144251v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Lysobacter enzymogenes,,{},{},4158597,2018-03-28T14:09:25.187Z,2021-03-04T04:39:39.840Z,
352,,GCF_000008985,GCF_000008985.1,1,GCA_000008985,GCA_000008985.1,177416,Francisella tularensis subsp. tularensis SCHU S4,reference genome,PRJNA57589,SAMEA3138185,,,latest,Complete Genome,Major,2009-06-18,ASM898v1,Swedish Defence Research Agency,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,subsp. tularensis SCHU S4,{},{},3215631,2018-03-28T14:09:25.248Z,2021-03-04T04:41:26.951Z,
360,,GCF_000006765,GCF_000006765.1,1,GCA_000006765,GCA_000006765.1,208964,Pseudomonas aeruginosa PAO1,reference genome,PRJNA57945,SAMN02603714,,,latest,Complete Genome,Major,2006-07-07,ASM676v1,PathoGenesis Corporation,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,PAO1,{},{},2603714,2018-03-28T14:09:25.281Z,2021-03-04T04:41:39.586Z,
361,,GCF_000014225,GCF_000014225.1,1,GCA_000014225,GCA_000014225.1,342610,Pseudoalteromonas atlantica T6c,representative genome,PRJNA224116,SAMN02598305,,,latest,Complete Genome,Major,2006-06-28,ASM1422v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/225/GCF_000014225.1_ASM1422v1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas atlantica,T6c,{},{},2598305,2018-03-28T14:09:25.281Z,2021-03-04T04:41:41.073Z,
363,,GCF_000237065,GCF_000237065.1,1,GCA_000237065,GCA_000237065.1,1114970,Pseudomonas fluorescens F113,representative genome,PRJNA224116,SAMN02604099,,,latest,Complete Genome,Major,2011-12-09,ASM23706v1,Universidad Autónoma de Madrid,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/065/GCF_000237065.1_ASM23706v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,F113,{},{},2604099,2018-03-28T14:09:25.281Z,2021-03-04T04:41:43.817Z,
364,,GCF_000016565,GCF_000016565.1,1,GCA_000016565,GCA_000016565.1,399739,Pseudomonas mendocina ymp,representative genome,PRJNA224116,SAMN02598392,,,latest,Complete Genome,Major,2007-04-20,ASM1656v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/565/GCF_000016565.1_ASM1656v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas mendocina,ymp,{},{},2598392,2018-03-28T14:09:25.281Z,2021-03-04T04:41:44.944Z,
365,,GCF_000007565,GCF_000007565.2,2,GCA_000007565,GCA_000007565.2,160488,Pseudomonas putida KT2440,reference genome,PRJNA57843,SAMN02603999,,,latest,Complete Genome,Major,2016-02-26,ASM756v2,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/565/GCF_000007565.2_ASM756v2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,KT2440,{},{},2603999,2018-03-28T14:09:25.281Z,2021-03-04T04:41:46.314Z,
368,,GCF_000219605,GCF_000219605.1,1,GCA_000219605,GCA_000219605.1,316,Pseudomonas stutzeri,representative genome,PRJNA224116,SAMN02603041,,,latest,Complete Genome,Major,2011-06-29,ASM21960v1,"Biotechnology Research Institute, Chinese Academy of Agricultural Sciences",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/605/GCF_000219605.1_ASM21960v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,,{},{},2603041,2018-03-28T14:09:25.281Z,2021-03-04T04:41:52.191Z,
370,,GCF_000012245,GCF_000012245.1,1,GCA_000012245,GCA_000012245.1,205918,Pseudomonas syringae pv. syringae B728a,reference genome,PRJNA57931,SAMN02604347,,,latest,Complete Genome,Major,2005-05-12,ASM1224v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas syringae,pv. syringae B728a,{},{},2604347,2018-03-28T14:09:25.282Z,2021-03-04T04:41:55.349Z,
372,,GCF_000007145,GCF_000007145.1,1,GCA_000007145,GCA_000007145.1,190485,Xanthomonas campestris pv. campestris str. ATCC 33913,reference genome,PRJNA57887,SAMN02603845,,,latest,Complete Genome,Major,2002-05-24,ASM714v1,Sao Paulo state (Brazil) Consortium,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/145/GCF_000007145.1_ASM714v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,pv. campestris str. ATCC 33913,{},{},2603845,2018-03-28T14:09:25.282Z,2021-03-04T04:41:59.282Z,
373,,GCF_001021935,GCF_001021935.1,1,GCA_001021935,GCA_001021935.1,487909,Xanthomonas translucens pv. undulosa,representative genome,PRJNA224116,SAMN02797519,,,latest,Complete Genome,Major,2015-06-08,ASM102193v1,Kansas State University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/935/GCF_001021935.1_ASM102193v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas translucens,pv. undulosa,{},{},2797519,2018-03-28T14:09:25.282Z,2021-03-04T04:42:01.459Z,
374,,GCF_002218245,GCF_002218245.1,1,GCA_002218245,GCA_002218245.1,473426,Xanthomonas citri pv. vignicola,representative genome,PRJNA224116,SAMN07252112,,,latest,Complete Genome,Major,2017-07-13,ASM221824v1,IRHS,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/218/245/GCF_002218245.1_ASM221824v1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri,pv. vignicola,{},{},7252112,2018-03-28T14:09:25.282Z,2021-03-04T04:42:02.540Z,
375,,GCF_000019585,GCF_000019585.2,2,GCA_000019585,GCA_000019585.2,360094,Xanthomonas oryzae pv. oryzae PXO99A,representative genome,PRJNA224116,SAMN02603061,,,latest,Complete Genome,Major,2015-06-29,ASM1958v2,Center for Bioinformatics and Computational Biology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas oryzae,pv. oryzae PXO99A,{},{},2603061,2018-03-28T14:09:25.282Z,2021-03-04T04:42:04.350Z,
376,,GCF_000817975,GCF_000817975.1,1,GCA_000817975,GCA_000817975.1,1328314,Azotobacter chroococcum NCIMB 8003,representative genome,PRJNA224116,SAMN03278357,,,latest,Complete Genome,Major,2015-01-14,ASM81797v1,University of Reading,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/975/GCF_000817975.1_ASM81797v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter chroococcum,NCIMB 8003,{},{},3278357,2018-03-28T14:09:25.282Z,2021-03-04T04:42:06.528Z,
377,,GCF_000380335,GCF_000380335.1,1,GCA_000380335,GCA_000380335.1,1283330,Azotobacter vinelandii CA,representative genome,PRJNA224116,SAMN01889086,,,latest,Complete Genome,Major,2013-04-23,ASM38033v1,North Carolina State University,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/380/335/GCF_000380335.1_ASM38033v1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter vinelandii,CA,{},{},1889086,2018-03-28T14:09:25.282Z,2021-03-04T04:42:07.933Z,
390,,GCF_000008325,GCF_000008325.1,1,GCA_000008325,GCA_000008325.1,243233,Methylococcus capsulatus str. Bath,representative genome,PRJNA224116,SAMN02603968,,,latest,Complete Genome,Major,2005-05-18,ASM832v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/325/GCF_000008325.1_ASM832v1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylococcus,Methylococcus capsulatus,str. Bath,{},{},2603968,2018-03-28T14:09:25.282Z,2021-03-04T04:42:29.650Z,
391,,GCF_000427625,GCF_000427625.1,1,GCA_000427625,GCA_000427625.1,1095552,Methylobacter luteus IMV-B-3098,representative genome,PRJNA224116,SAMN02441220,ATYJ00000000.1,,latest,Scaffold,Major,2013-07-15,ASM42762v1,JGI,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/427/625/GCF_000427625.1_ASM42762v1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Methylobacter luteus,IMV-B-3098,{},{},2441220,2018-03-28T14:09:25.282Z,2021-03-04T04:42:30.872Z,
392,,GCF_000214665,GCF_000214665.1,1,GCA_000214665,GCA_000214665.1,857087,Methylomonas methanica MC09,representative genome,PRJNA224116,SAMN00713628,,,latest,Complete Genome,Major,2011-05-24,ASM21466v1,US DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/665/GCF_000214665.1_ASM21466v1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Methylomonas methanica,MC09,{},{},713628,2018-03-28T14:09:25.282Z,2021-03-04T04:42:32.710Z,
