id,worker_id,accession,version,version_number,genbank_accession,genbank_version,taxonomy_id,name,refseq_category,bioproject,biosample,wgs_master,isolate,version_status,assembly_level,release_type,release_date,assembly_name,submitter,ftp_path,superkingdom,phylum,class,order,family,genus,species,strain,stats,meta,biosample_id,createdAt,updatedAt,WorkerId
257,,GCF_000010525,GCF_000010525.1,1,GCA_000010525,GCA_000010525.1,438753,Azorhizobium caulinodans ORS 571,representative genome,PRJNA224116,SAMD00060925,,,latest,Complete Genome,Major,2007-10-16,ASM1052v1,University of Tokyo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/525/GCF_000010525.1_ASM1052v1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Azorhizobium,Azorhizobium caulinodans,ORS 571,{},{},5831728,2018-03-28T14:09:25.187Z,2021-03-04T04:38:47.735Z,
258,,GCF_000007365,GCF_000007365.1,1,GCA_000007365,GCA_000007365.1,198804,Buchnera aphidicola str. Sg (Schizaphis graminum),representative genome,PRJNA224116,SAMN02604269,,,latest,Complete Genome,Major,2002-07-02,ASM736v1,Uppsala Univ.,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Buchnera,Buchnera aphidicola,str. Sg (Schizaphis graminum),{},{},2604269,2018-03-28T14:09:25.187Z,2021-03-04T04:38:49.137Z,
275,,GCF_000378225,GCF_000378225.1,1,GCA_000378225,GCA_000378225.1,1122236,Methylophilus methylotrophus DSM 46235 = ATCC 53528,representative genome,PRJNA224116,SAMN02440991,ARJW00000000.1,,latest,Scaffold,Major,2013-04-23,ASM37822v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/378/225/GCF_000378225.1_ASM37822v1,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,Methylophilus methylotrophus,DSM 46235 = ATCC 53528,{},{},2440991,2018-03-28T14:09:25.187Z,2021-03-04T04:39:17.517Z,
276,,GCF_000012885,GCF_000012885.1,1,GCA_000012885,GCA_000012885.1,338963,Pelobacter carbinolicus DSM 2380,representative genome,PRJNA224116,SAMN02598295,,,latest,Complete Genome,Major,2006-03-30,ASM1288v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,Pelobacter carbinolicus,DSM 2380,{},{},2598295,2018-03-28T14:09:25.187Z,2021-03-04T04:39:19.207Z,
277,,GCF_001375595,GCF_001375595.1,1,GCA_001375595,GCA_001375595.1,31967,Phenylobacterium immobile (ATCC 35973),representative genome,PRJNA224116,SAMEA3309515,CVJQ00000000.1,,latest,Contig,Major,2015-04-06,Draft genome of P. immobile strain E (DSM 1986),Institute of Technical Biochemistry,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/375/595/GCF_001375595.1_Draft_genome_of_P._immobile_strain_E_DSM_1986_,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Phenylobacterium immobile,(ATCC 35973),{},{},3458013,2018-03-28T14:09:25.187Z,2021-03-04T04:39:20.565Z,
278,,GCF_000518705,GCF_000518705.1,1,GCA_000518705,GCA_000518705.1,1336240,Shewanella colwelliana ATCC 39565,representative genome,PRJNA224116,SAMN02584968,JAEC00000000.1,,latest,Scaffold,Major,2014-01-13,ASM51870v1,DOE Joint Genome Institute,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/518/705/GCF_000518705.1_ASM51870v1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella colwelliana,ATCC 39565,{},{},2584968,2018-03-28T14:09:25.187Z,2021-03-04T04:39:21.829Z,
279,,GCF_000219105,GCF_000219105.1,1,GCA_000219105,GCA_000219105.1,483219,Myxococcus fulvus HW-1,representative genome,PRJNA224116,SAMN02603152,,,latest,Complete Genome,Major,2011-06-22,ASM21910v1,"College of Life Science, Shandong University",ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,HW-1,{},{},2603152,2018-03-28T14:09:25.187Z,2021-03-04T04:39:23.340Z,
280,,GCF_000012685,GCF_000012685.1,1,GCA_000012685,GCA_000012685.1,246197,Myxococcus xanthus DK 1622,representative genome,PRJNA224116,SAMN02604018,,,latest,Complete Genome,Major,2006-06-07,ASM1268v1,TIGR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/685/GCF_000012685.1_ASM1268v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus xanthus,DK 1622,{},{},2604018,2018-03-28T14:09:25.187Z,2021-03-04T04:39:25.118Z,
281,,GCF_000165485,GCF_000165485.1,1,GCA_000165485,GCA_000165485.1,378806,Stigmatella aurantiaca DW4/3-1,representative genome,PRJNA224116,SAMN02603592,,,latest,Complete Genome,Major,2010-10-21,ASM16548v1,Max Planck Institute for Terrestrial Microbiology,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,Stigmatella aurantiaca,DW4/3-1,{},{},2603592,2018-03-28T14:09:25.187Z,2021-03-04T04:39:26.237Z,
282,,GCF_000335475,GCF_000335475.2,2,GCA_000335475,GCA_000335475.2,1242864,Cystobacter fuscus DSM 2262,representative genome,PRJNA224116,SAMN02470006,ANAH00000000.2,,latest,Contig,Major,2013-07-30,ASM33547v2,IMTECH-CSIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/475/GCF_000335475.2_ASM33547v2,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Cystobacter,Cystobacter fuscus,DSM 2262,{},{},2470006,2018-03-28T14:09:25.187Z,2021-03-04T04:39:27.339Z,
