,gene_id,version,phylum,class,order,family,genus,species_x,DBD,id,species,tsne-pca500-one,tsne-pca500-two
0,G566_RS15185,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,,GCF_000420765.1-G566_RS15185,G566,-1.863427,4.5709405
1,G566_RS0112345,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0112345,G566,7.762449,2.894099
2,G566_RS0112200,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,,GCF_000420765.1-G566_RS0112200,G566,9.347311,47.085217
3,G566_RS0111445,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,GerE,GCF_000420765.1-G566_RS0111445,G566,0.25874957,0.3355804
4,G566_RS0111135,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0111135,G566,16.341639,-12.71587
5,G566_RS0110190,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0110190,G566,-9.776816,-13.763374
6,G566_RS0109375,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,LytTR,GCF_000420765.1-G566_RS0109375,G566,7.27811,14.383588
7,G566_RS14795,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,,GCF_000420765.1-G566_RS14795,G566,-5.1547084,7.6260805
8,G566_RS0106145,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,HTH_8,GCF_000420765.1-G566_RS0106145,G566,-25.987394,22.658285
9,G566_RS0106025,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0106025,G566,-1.0407116,-26.80444
10,G566_RS0105940,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0105940,G566,2.21058,-49.20685
11,G566_RS0101180,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,HTH_8,GCF_000420765.1-G566_RS0101180,G566,-17.322958,22.237602
12,G566_RS0100270,GCF_000420765.1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sandarakinorhabdus limnophila,Trans_reg_C,GCF_000420765.1-G566_RS0100270,G566,-7.38811,-39.30162
13,JCM23214_RS07810,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS07810,JCM23214,35.78305,-11.871835
14,JCM23214_RS06835,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,Trans_reg_C,GCF_000616095.1-JCM23214_RS06835,JCM23214,-4.6023874,-29.254787
15,JCM23214_RS06825,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,CheB_methylest,GCF_000616095.1-JCM23214_RS06825,JCM23214,22.368225,30.883387
16,JCM23214_RS06820,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS06820,JCM23214,40.560493,5.42317
17,JCM23214_RS06490,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS06490,JCM23214,25.870718,-25.257328
18,JCM23214_RS03935,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,Trans_reg_C,GCF_000616095.1-JCM23214_RS03935,JCM23214,-18.084545,5.0379086
19,JCM23214_RS05815,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS05815,JCM23214,35.470566,-4.9986167
20,JCM23214_RS03880,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS03880,JCM23214,28.88069,-27.830627
21,JCM23214_RS04450,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS04450,JCM23214,-2.788322,-37.023228
22,JCM23214_RS01150,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,ANTAR,GCF_000616095.1-JCM23214_RS01150,JCM23214,57.093597,10.38548
23,JCM23214_RS00970,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,Trans_reg_C,GCF_000616095.1-JCM23214_RS00970,JCM23214,6.4212184,4.517189
24,JCM23214_RS00950,GCF_000616095.1,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella,Sneathiella glossodoripedis,,GCF_000616095.1-JCM23214_RS00950,JCM23214,9.519902,9.060223
